DEELGEMEENTE;STRAAT;NUMMER;TYPE;LIGGING;MI_STYLE;MI_PRINX;latWGS84;loWGS84;Aangemaakt op
Zeebrugge;SINT-DONAASSTRAAT;ZB050;F;aan petanquevelden;Symbol (35, 0, 12);1398;51.3336434360789;3.20900480452023;30/10/2017
Sint-Kruis;;SK083;FL;naast zitbank langs wandel- en fietspad;;353;51.2163796736794;3.24367913347747;30/10/2017
Sint-Andries;FREDERIK SANDERPARK;SA113;F;aan bank;Symbol (35, 0, 12);1256;51.1995241856824;3.20806376132992;30/10/2017
Koolkerke;ZAGERSWEG;KO023;F;aan bushalte naast nr 45;;97;51.2294712886736;3.24491927967064;30/10/2017
;;;;;;1645;51.2225324586922;3.22389452456126;30/10/2017
Centrum;KORTE ZILVERSTRAAT;BR413;L;op oek met Sint-Amandstraat;Symbol (35, 0, 12);863;51.2082629217872;3.22182130545797;30/10/2017
Centrum;KONING ALBERTPARK;BR179;L;aan bank naast concertgebouw;Symbol (35, 0, 12);686;51.2032540483466;3.21904457805347;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM083;F;Domein De Rode Poort op speelplein tussen banken;Symbol (35, 0, 12);393;51.1768825723038;3.20998161972578;30/10/2017
Sint-Kruis;LEOPOLD DEBRUYNESTRAAT;SK109;FL;speelplein schuin tgnover nr 99;Symbol (35, 0, 12);1477;51.2107872222738;3.25262180726415;30/10/2017
Centrum;BEGIJNENVEST;BR171;M;aan bank;Symbol (35, 0, 12);977;51.1990169530386;3.21805884823421;30/10/2017
Sint-Michiels;SPOORWEGSTRAAT;SM022;F;Aan het begin van het Kerkebeekpad, op de kop van de haag;Symbol (35, 0, 12);1536;51.1947844286305;3.21790128945752;30/10/2017
Sint-Kruis;;SK124;F;domein Gulden Kamer, aan poort kant Warrenplein;;1742;51.2174175463894;3.25122203101311;30/10/2017
Brugge;JAKOBINESSENSTRAAT;BR013;F;in inrit Jakobinessenpark;;1814;51.202838390328;3.23101254282705;30/10/2017
Zeebrugge;TIJDOKSTRAAT;ZB062;ZD;op kaai (hoek met Werfkaai);Symbol (35, 0, 12);588;51.3303463600788;3.20247607529024;30/10/2017
;;;;;;1771;51.3207071254837;3.1855789116207;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1392;51.1939838113477;3.1798543952134;30/10/2017
Sint-Pieters;SINT-PIETERSPLAS;SP058;F;aan banken kant St-Pietersmolenstraat;Symbol (35, 0, 12);459;51.2300792981054;3.19533930732586;30/10/2017
Sint-Andries;LANGE MOLENSTRAAT;SA080;FL;r.o. nr58;;157;51.1925158778858;3.17643747771584;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;247;51.1920301470011;3.18252666802454;30/10/2017
Brugge Centrum;NOORDZANDSTRAAT;BR282;L;t.h.v. nr. 4;;1863;51.2083343054634;3.22109670662782;30/10/2017
Sint-Andries;ZANDSTRAAT;SA161;F;Koude Keuken, aan zitzone r.o. ingang minipitch;;1718;51.2009910703278;3.18129414813383;30/10/2017
Centrum;MINNEWATERPARK;BR135;L;aan 6 banken tegenaan water tussen kasteel en Minnewaterbrug;Symbol (35, 0, 12);982;51.1988982771651;3.22445849559456;30/10/2017
Sint-Andries;LEGEWEG;SA120;FL;aan bushalte tegenaan Pastoriestraat;;177;51.2054415198242;3.17663114611275;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM005;FL;thv nr 5;Symbol (35, 0, 12);1155;51.1919180408928;3.21321385497905;30/10/2017
Assebroek;KONINGIN ELISABETHSQUARE;;F;voor OLV Asumpta-kerk;;37;51.1954565935915;3.25051141532988;30/10/2017
Christus-Koning;BEVRIJDINGSLAAN;CK021;FL;tussen bloedput en buffelbrug;Symbol (35, 0, 12);1168;51.2109778378382;3.21132490894702;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;217;51.1936157187816;3.18162692902914;30/10/2017
Sint-Jozef;GANDHIPLEIN;SJ049;F;begin wandelpad r.o. nr15;Symbol (35, 0, 12);1441;51.2307336158399;3.23378666711448;30/10/2017
Sint-Kruis;DEKENSTRAAT;SK040;F;aan graspleintje op hoek met Kanselierlaan;Symbol (35, 0, 12);1262;51.2164096232769;3.27692665816763;30/10/2017
Zeebrugge;ZEEDIJK;ZB007;ZD;voor Palace Hotel;Symbol (35, 0, 12);935;51.3299019366768;3.1826713252329;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1337;51.193256890865;3.17924769495919;30/10/2017
Centrum;KONINGIN ASTRIDPARK;BR061;L;links naast ingang;Symbol (35, 0, 12);535;51.2070069172887;3.23035678632415;30/10/2017
Sint-Michiels;;SM014;F;"Kerkebeekpad, t.h.v. bejaardentehuis ""Ten Boomgaarde""";Symbol (35, 0, 12);1265;51.1866308561169;3.21363386846943;30/10/2017
Brugge;KONINGIN ELISABETHLAAN;MA003;MA;op hoek met Elf-Julistraat;;1870;51.2171173545482;3.21910300380591;30/10/2017
Assebroek;BRUGS-KERKHOFSTRAAT;AS006;FL;ca 30m voor ingang van kerkhof;;5;51.1927406157397;3.23630569071885;30/10/2017
Christus-Koning;MARIA VAN BOURGONDI?LAAN;CK022;FL;aan 2 zitbanken kant Houtkaai;Symbol (35, 0, 12);1165;51.2162566046166;3.20258194635869;30/10/2017
Sint-Kruis;DEKENSTRAAT;SK080;F;in wegel naar Baanderheerstraat;;1586;51.2162026666893;3.2748902011828;30/10/2017
Centrum;ZONNEKEMEERS;BR464;L;Oud Sint-Jan, aan hoofdingang Oud Sint-Jan t.h.v. doorsteek naar Oostmeers;Symbol (35, 0, 12);1468;51.2039057331759;3.22207043096184;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;258;51.1908132138468;3.18032242888538;30/10/2017
Sint-Kruis;;SP106;F;park Ter Poele, aan 2 banken langs pad achter prieel;;1680;51.2280411663252;3.20945827950869;30/10/2017
Sint-Andries;KONING LEOPOLD III-LAAN;SA064;F;op hoek met Diksmuidse Heerweg;Symbol (35, 0, 12);1303;51.1890640839266;3.18837967933993;30/10/2017
Assebroek;LELIESTRAAT;AS015;F;domein 'De Lelie', aan 2 banken en struikgewas;Symbol (35, 0, 12);1393;51.1977388924701;3.24141342810537;30/10/2017
Centrum;STATIONSPLEIN;BR452;L;tussen rijbaan en fietspad thv fietspunt;Symbol (35, 0, 12);1273;51.1970204641317;3.21855810704902;30/10/2017
Centrum;BONINVEST;BR115;L;aan Gentpoort;Symbol (35, 0, 12);580;51.20328988497;3.23487834941992;30/10/2017
Zeebrugge;KUSTLAAN;ZB110;ZD;aan 1e doorsteek door natuurgebied De Fonteintjes;;1610;51.3247029009184;3.1667259274036;30/10/2017
Centrum;KETSBRUGGESTRAAT;BR181;FL;links naast inrit parking;Symbol (35, 0, 12);687;51.1979010067175;3.22104302910696;30/10/2017
Zwankendamme;3603;ZW004;F;aan picknickplaats langs Boudewijnkanaal;;1577;51.3097092383246;3.20172468509004;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1390;51.1940927068093;3.17996597156025;30/10/2017
Sint-Michiels;;MA007;MA;Park De Rode Poort : aan pad dat leidt naar Franse Tuin;;1915;51.1781971011718;3.20989638115283;30/10/2017
Koolkerke;DRIEBROUWERSSTRAAT;KO021;F;op speelplein aan einde straat;Symbol (35, 0, 12);1116;51.2292759352159;3.241924736402;30/10/2017
Centrum;KAZERNEVEST;BR379;L;aan Conzettbrug naast banken;Symbol (35, 0, 12);1002;51.2049445898201;3.23692084718786;30/10/2017
Zeebrugge;TIJDOKSTRAAT;ZB064;ZD;op kaai (op hoek met Vismijnstraat);Symbol (35, 0, 12);1498;51.3321072048552;3.20195100280735;30/10/2017
Sint-Andries;KAMPERFOELIESTRAAT;SA156;F;op speelplein;;1704;51.1853395082654;3.17543590913161;30/10/2017
Sint-Jozef;JAN LERNOUTSTRAAT;SJ031;F;op pad naar Koolkerkse Steenweg thv De Grendel;Symbol (35, 0, 12);1255;51.2298198197536;3.23856346892519;30/10/2017
Centrum;HAUWERSTRAAT;BR221;L;thv nr 9;Symbol (35, 0, 12);724;51.2039032052591;3.21513811724289;30/10/2017
Assebroek;WEIDESTRAAT;AS103;F;naast elektriciteitskast tgnaan haag, hoek Begoniastraat;;84;51.1951533957766;3.24274108949206;30/10/2017
Centrum;BUITEN DE SMEDENVEST;BR210;L;nabij Smedenpoort;Symbol (35, 0, 12);713;51.204640240837;3.21205395782186;30/10/2017
Centrum;DR. SEBRECHTSPARK;BR315;L;aan einde ligweide;Symbol (35, 0, 12);1035;51.2088513984598;3.21833844274046;30/10/2017
Centrum;NOORDZANDSTRAAT;BR252;L;op 3e binnenplein van Zilverpand;Symbol (35, 0, 12);1042;51.2061769024099;3.22026023180959;30/10/2017
Sint-Michiels;TEN BRIELE;SM106;F;thv spoorwegovergang;Symbol (35, 0, 12);1489;51.1861437204822;3.22587934874361;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM073;F;aan ingang looppiste;Symbol (35, 0, 12);387;51.1914140017869;3.21286486868577;30/10/2017
Zeebrugge;REDERSKAAI;ZB066;ZD;r.o. nr 30;Symbol (35, 0, 12);612;51.3344269731106;3.20500248762512;30/10/2017
Centrum;GENTPOORTVEST;BR122;L;aan Katelijnebrug;Symbol (35, 0, 12);643;51.2000745784864;3.23010716266515;30/10/2017
Centrum;GUIDO GEZELLELAAN;BR216;L;hoek met Bevrijdingslaan;Symbol (35, 0, 12);719;51.2094107858297;3.21354816073066;30/10/2017
Sint-Pieters;SINT-PIETERSMOLENSTRAAT;SP061;F;aan bushalte thv Gentele;Symbol (35, 0, 12);462;51.2294564068618;3.19516302405298;30/10/2017
Centrum;WILLEM DE DEKENSTRAAT;BR092;F;r.o. nr10;Symbol (35, 0, 12);561;51.2178883028442;3.22122116899943;30/10/2017
Centrum;STEENSTRAAT;BR406;L;thv nr 16;Symbol (35, 0, 12);858;51.2080178695916;3.2236795672646;30/10/2017
Sint-Kruis;DOMEIN GULDEN KAMER;SK055;F;aan speelplein;;333;51.216792118571;3.24696286531422;30/10/2017
Centrum;BEGIJNENVEST;BR126;L;aan standbeeld;Symbol (35, 0, 12);962;51.1987869865701;3.22218142926084;30/10/2017
Sint-Michiels;179;SM062;ZD;achterzijde station aan linkse trap naar platform;;1566;51.196581198815;3.21588858579131;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;205;51.1940545289343;3.18066409729673;30/10/2017
Sint-Pieters;GENTELE;SP040;F;aan banken n aast basketbalterrein;Symbol (35, 0, 12);445;51.2288096521156;3.19690501758919;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM121;F;Parking De Rode Poort op het einde;;1756;51.1780871108858;3.20930049182015;30/10/2017
Koolkerke;GEMENE-WEIDESTRAAT;KO016;F;thv bushalte Romboudswijk;;92;51.2320315056274;3.24874484705076;30/10/2017
Centrum;SIMON STEVINPLEIN;BR274;L;r.o. Loppemstraat;Symbol (35, 0, 12);781;51.2068471665216;3.22269549213364;30/10/2017
Sint-Kruis;WATERVLIETSTRAAT;SK125;F;aan hondentoilet;;1763;51.2136745909678;3.24476111541847;30/10/2017
Assebroek;GENERAAL LEMANLAAN;AS046;F;thv nr 109 aan bushalte;;35;51.2017408700842;3.24127337601885;30/10/2017
Sint-Andries;GISTELSE STEENWEG;SA005;F;aan bushalte thv nr 252;;112;51.2006030486421;3.19678134122124;30/10/2017
Assebroek;;AS009;FL;Buiten Gentpoortvest, aan bushalte (kant Assebroek);;8;51.2001265341443;3.23213489311509;30/10/2017
Assebroek;CANADARING;ASXXX;;kinderboerderij;Symbol (35, 0, 12);1296;51.1890696655175;3.24532573024355;30/10/2017
Sint-Andries;KNOTWILGENLAAN;SA131;F;aan bank op pleintje voor kerk;;186;51.2074109536433;3.1830230566324;30/10/2017
Sint-Pieters;SINT-PIETERSPLEIN;SP001;F;aan banken;Symbol (35, 0, 12);415;51.2229914977136;3.20858898730538;30/10/2017
Assebroek;'T LEITJE;AS105;F;aan speelplein;Symbol (35, 0, 12);1214;51.188246175817;3.27215639267498;30/10/2017
Brugge centrum;LEEUWSTRAAT;MA014;MA;aan Leeuwbrug;;1911;51.2100307364549;3.21897573166179;30/10/2017
Zeebrugge;ZEEDIJK;ZB034;ZD;thv nr 32;Symbol (35, 0, 12);915;51.3284784827793;3.17661854380749;30/10/2017
Zeebrugge;VEERBOOTSTRAAT;ZB101;X;aan petanqueplein langs Veneti?straat;;1678;51.325964504473;3.19121544770683;30/10/2017
Sint-Kruis;SPEELPLEINLAAN;SK090;F;aan bushalte t.h.v. nr. 70;;1584;51.2067887889694;3.24630753691333;30/10/2017
Brugge;203;BR170;La;t.h.v. nr. 15;;1545;51.2100994321351;3.22322017860848;30/10/2017
Assebroek;WEIDESTRAAT;AS135;F;t.h.v. kruispunt met oude spoorwegbedding;;1720;51.1902008415378;3.26090794230775;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1345;51.1907432171807;3.17981521251973;30/10/2017
Sint-Andries;KONING LEOPOLD III-LAAN;SA062;F;aan verbindingswegel met Ter Straten;Symbol (35, 0, 12);1239;51.1909866801569;3.18652743783339;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1335;51.1930181986507;3.17936627868158;30/10/2017
Zeebrugge;REDERSKAAI;ZB053;ZD;r.o. nrs 45-46;Symbol (35, 0, 12);608;51.3349728663134;3.20714027163386;30/10/2017
Sint-Michiels;WALAKKER;SM077;F;op speelplein (inrit r.o. nr 21);Symbol (35, 0, 12);388;51.1828390256506;3.21827317019452;30/10/2017
Assebroek;;AS001;FL;Buiten Kazernevest, aan bushalte (kant binnenstad);;1;51.210225500031;3.2412925681778;30/10/2017
Assebroek;BARON RUZETTELAAN;AS139;F;aan bushalte t.h.v. nr. 97;;1749;51.1956370359715;3.23161091120146;30/10/2017
Sint-Pieters;BLAUWE POORT;SP087;F;aan bank naast speelplein in begin wijk;Symbol (35, 0, 12);1196;51.2371066182902;3.20226227863326;30/10/2017
Sint-Pieters;MONNIKENWERVE;SP085;F;aan bushalte thv autokeuring;Symbol (35, 0, 12);481;51.2441778757051;3.2053237816644;30/10/2017
Sint-Michiels;ALFONS DE BAECKESTRAAT;SM020;M;aan bushalte thv dolfinarium;Symbol (35, 0, 12);1268;51.1834037902721;3.21107361831911;30/10/2017
Christus-Koning;WERFPLEIN;CK030;F;r.o. nr 15;Symbol (35, 0, 12);1063;51.2187922307861;3.2180028968828;30/10/2017
Christus-Koning;HAMILTONPARK;CK046;F;aan zitbank naast water;;1726;51.2128118313891;3.20423790189951;30/10/2017
Centrum;BARGEWEG;BR157;L;busparking thv Mayflower;Symbol (35, 0, 12);1090;51.1966737128058;3.22714131642655;30/10/2017
Sint-Jozef;PANNEBEKESTRAAT;SJ040;FL;op speelplein aan lummelhoek;;1906;51.2273344418965;3.23087659110429;30/10/2017
