frntype_sh;fietstrace;gemeente;lstrnm;rstrnm;lengte;wegcategor;beheer_shp;bff_datum_;ident8_opl;ident8_afl;latWGS84;loWGS84;Aangemaakt op
functionele fietsroute;31005_Dudzeelse Steenweg_10292;Brugge;Dudzeelse Steenweg;Dudzeelse Steenweg;151,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3760001;N3760002;51.2689514173659,51.2689514173659,51.2689514173659,51.2689514173659,51.2689514173659,51.2689514173659,51.2689514173659;3.22202922062609,3.22202922062609,3.22202922062609,3.22202922062609,3.22202922062609,3.22202922062609,3.22202922062609;23/06/2016
functionele fietsroute;31005_Dudzeelse Steenweg_10293;Brugge;Dudzeelse Steenweg;Dudzeelse Steenweg;52,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3760001;N3760002;51.2305668131929,51.2305668131929,51.2305668131929,51.2305668131929,51.2305668131929;3.22679964207511,3.22679964207511,3.22679964207511,3.22679964207511,3.22679964207511;23/06/2016
hoofdroute: fietssnelweg;31005_Waggelwater_10452;Brugge;Waggelwater;Waggelwater;568,00000000000000000;lokale weg type 1;Stad Brugge;20141231;;;51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975,51.2117287476975;3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881,3.14499847532881;23/06/2016
functionele fietsroute;31005_Dudzeelse Steenweg_10293;Brugge;Dudzeelse Steenweg;Dudzeelse Steenweg;11,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3760001;N3760002;51.2324487752805,51.2324487752805;3.22798686401513,3.22798686401513;23/06/2016
functionele fietsroute;31005_<straatnaam_ongekend>_10417;Brugge;;;5,00000000000000000;secundaire weg type 2;AWV - District Brugge;20141231;;N0349012;51.3377768109449,51.3377768109449;3.21743062467443,3.21743062467443;23/06/2016
functionele fietsroute;31005_Torhoutse Steenweg_10443;Brugge;Torhoutse Steenweg;Torhoutse Steenweg;51,00000000000000000;secundaire weg type 2;AWV - District Brugge;20141231;;N0320002;51.1939509442928,51.1939509442928,51.1939509442928,51.1939509442928,51.1939509442928,51.1939509442928,51.1939509442928,51.1939509442928,51.1939509442928,51.1939509442928,51.1939509442928;3.19644219593032,3.19644219593032,3.19644219593032,3.19644219593032,3.19644219593032,3.19644219593032,3.19644219593032,3.19644219593032,3.19644219593032,3.19644219593032,3.19644219593032;23/06/2016
functionele fietsroute;31042_Oostendse Steenweg_10770;Zuienkerke;Oostendse Steenweg;Oostendse Steenweg;79,00000000000000000;primaire weg II;AWV - District Brugge;20141231;N0090001;N0090002;51.2403714683254,51.2403714683254,51.2403714683254;3.1570379497921,3.1570379497921,3.1570379497921;23/06/2016
functionele fietsroute;31005_Walweinstraat_10453;Brugge;Walweinstraat;Walweinstraat;60,00000000000000000;secundaire weg type 3;AWV - District Brugge;20141231;R0300001;R0300002;51.22247814998,51.22247814998;3.22566976201075,3.22566976201075;23/06/2016
functionele fietsroute;;Brugge;Koning Albert I-laan;Koning Albert I-laan;37,00000000000000000;primaire weg II;AWV - District Brugge;20151229;;N3970002;51.195130429394,51.195130429394,51.195130429394,51.195130429394,51.195130429394;3.21271563954039,3.21271563954039,3.21271563954039,3.21271563954039,3.21271563954039;23/06/2016
functionele fietsroute;31040_Steenbrugsestraat_10720;Zedelgem;Steenbrugsestraat;Steenbrugsestraat;23,00000000000000000;lokale weg type 1;Gemeente Zedelgem;20141231;N3090001;N3090002;51.1607164851322,51.1607164851322,51.1607164851322,51.1607164851322;3.20069977355587,3.20069977355587,3.20069977355587,3.20069977355587;23/06/2016
functionele fietsroute;31005_Koning Albert I-laan_10327;Brugge;Koning Albert I-laan;Koning Albert I-laan;23,00000000000000000;primaire weg II;AWV - District Brugge;20141231;N3970001;N3970002;51.2003903776611,51.2003903776611,51.2003903776611,51.2003903776611,51.2003903776611,51.2003903776611,51.2003903776611;3.21434011728844,3.21434011728844,3.21434011728844,3.21434011728844,3.21434011728844,3.21434011728844,3.21434011728844;23/06/2016
functionele fietsroute;31005_Spoorwegstraat_10387;Brugge;Spoorwegstraat;Spoorwegstraat;377,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3420001;N3420002;51.1823174443437,51.1823174443437,51.1823174443437,51.1823174443437,51.1823174443437,51.1823174443437;3.22411191348217,3.22411191348217,3.22411191348217,3.22411191348217,3.22411191348217,3.22411191348217;23/06/2016
functionele fietsroute;31040_Steenbrugsestraat_10720;Zedelgem;Steenbrugsestraat;Steenbrugsestraat;149,00000000000000000;lokale weg type 1;Gemeente Zedelgem;20141231;N3090001;N3090002;51.1605551470273,51.1605551470273,51.1605551470273,51.1605551470273,51.1605551470273,51.1605551470273;3.20049192508517,3.20049192508517,3.20049192508517,3.20049192508517,3.20049192508517,3.20049192508517;23/06/2016
functionele fietsroute;31005_Buiten Begijnenvest_10275;Brugge;Buiten Begijnenvest;Buiten Begijnenvest;15,00000000000000000;secundaire weg type 3;AWV - District Brugge;20141231;;R0300002;51.1993521153322,51.1993521153322;3.21790891439972,3.21790891439972;23/06/2016
