Id;Straat;School;Type;Aant_bord;Inplanting;Foto;Zone30;Datumplaat;Dgemeente;latWGS84;loWGS84;Aangemaakt op
5;Brugse Steenweg;Vrije Gesubs. Basisschool-De Smalle;Octopus;1;Beplanting;foto/smallestraat 2.PNG;ja;20060401;Koolkerke;51.2421524201576;3.2504808535749;15/09/2016
52;Kaproenenhof;M.P.I.-De Kaproenen;Octopus;1;Voetpad;foto/kaproenenhof.PNG;nee;20060401;Sint-Michiels;51.1747315068579;3.21356535906596;15/09/2016
17;Damse Steenweg;Stedelijke Basisschool Afdeling De Bijenkorf;Octopus;2;Voetpad;foto/damse steenweg.PNG;ja;20050812;Dudzele;51.2754169023206;3.23202947584446;15/09/2016
94;Vijversdreef;Vrije Gesubs. Lagere School OLVA G Male;Octopus;1;Gras;foto/vijversdreef 2.PNG;ja;20050831;Sint-Kruis;51.2111203972984;3.28022002828442;15/09/2016
84;Sint-Katarinastraat;Vrije Gesubs. Basisschool OLVA B;Octopus;2;Voetpad;foto/sint-katerinastraat.PNG;ja;20060401;Assebroek;51.1971087871342;3.23652798669095;15/09/2016
77;Collegestraat;Onze-Lieve-Vrouwecollege Assebroek;Octopus;2;Voetpad;foto/collegestraat.PNG;ja;20050831;Assebroek;51.2044077191308;3.25181141061812;15/09/2016
19;Stationsstraat;Stedelijke Basisschool Afdeling Ter Poorten;Octopus;1;Voetpad;foto/stationsstraat.PNG;ja;20050816;Lissewege;51.2944668099935;3.1951976291874;15/09/2016
81;Dries;Vrije Gesubs. Basisschool OLVA E-'t Sparrenhof;Octopus;2;Beplanting;foto/dries.PNG;ja;20050825;Assebroek;51.1934989408104;3.24954946195027;15/09/2016
3;Kardinaal Mercierstraat;Vrije Gesubs. Basisschool Sint-Lodewijkscollege - Pim pam poen;Octopus;2;Voetpad;foto/kardinaal merciestraat.PNG;ja;20050811;Christus Koning;51.2178445961077;3.21558866367819;15/09/2016
34;Knotwilgenlaan;Vrije Ges. Gem. Basisschool Sint-Lodewijkscollege-Blijmare;Octopus;1;Voetpad;foto/knotwilgenlaan.PNG;ja;20060401;Sint-Andries;51.2069921939909;3.182803059304;15/09/2016
73;Koning Boudewijnlaan;Guido Gezelleschool Steinerpedagogie;Octopus;1;Voetpad;foto/koning boudewijnlaan 2.PNG;ja;20070801;Assebroek;51.1978497361782;3.24947649362158;15/09/2016
91;Boogschutterslaan;Instituut Mariawende-Blydhove;Octopus;1;Stuk voor parkeerplaatsen;foto/boogschutterslaan 2.PNG;ja;20050831;Sint-Kruis;51.2153805981289;3.2477458991261;15/09/2016
98;Pastorieweg;Vrije Gesubs. Basisschool-Mozaïek;Octopus;1;Voetpad;foto/pastorieweg.PNG;nee;20060401;Sint-Kruis;51.2145011908336;3.25070074557302;15/09/2016
101;Raadsherenlaan;Vrije Gesubs. Basisschool Mariawende-De Zonnetuin;Octopus;2;Gras;foto/raadsherenlaan.PNG;ja;20050831;Sint-Kruis;51.2155718846794;3.27737061281699;15/09/2016
64;Spoorwegstraat;K.H.B.O-Campus Sint-Michiel;Octopus;1;Voetpad;foto/spoorwegstraat.PNG;ja;20060401;Sint-Michiels;51.1847620543901;3.22374651115844;15/09/2016
75;Sint-Trudostraat;Vrije Gesubs. Basisschool OLVA Afdeling Steenbrugge;Octopus;2;Tussenstuk rijbaan/fietsp;foto/sint-trudostraat.PNG;ja;20060401;Assebroek;51.1813293674292;3.23902729729896;15/09/2016
4;Brugse Steenweg;Vrije Gesubs. Basisschool-De Smalle;Octopus;1;Beplanting naast voetpad;foto/smallestraat.PNG;ja;20060401;Koolkerke;51.2413087156218;3.24900199889816;15/09/2016
82;Gemeneweideweg-Zuid;Basisschool Koninklijk Atheneum Assebroek-Paalbos;Octopus;2;Gras;foto/gemeneweideweg-zuid.PNG;ja;20050401;Assebroek;51.2017311065937;3.2666672893306;15/09/2016
7;Ter Looigemweg;Basisschool Oefenschool-Pannebeke;Octopus;1;Voetpad;foto/ter looigemweg.PNG;ja;20070801;Sint-Jozef;51.225948967765;3.23144845043177;15/09/2016
57;Rijselstraat;Koninklijk technisch Atheneum;Octopus;1;Voetpad;foto/rijselstraat.PNG;ja;20050830;Sint-Michiels;51.1913607303788;3.21280345197296;15/09/2016
32;Jan Breydellaan;Vrije Gesubs. Basisschool Sint-Lodewijkscollege;Octopus;2;Naast zebrapad;foto/jan breydellaan.PNG;ja;20050819;Sint-Andries;51.2091183389539;3.20693399628943;15/09/2016
92;Brieversweg;Basisschool Sint-Kruis-De Linde;Octopus;2;Beplanting;foto/brievensweg.PNG;ja;20050831;Sint-Kruis;51.2126343260738;3.27537289549447;15/09/2016
