Id;Id_tritel;Id_techn;Aanbod;Segment;Bezet;Waarvbuit;Beschikbr;Regime;Deelgem;latWGS84;loWGS84;Aangemaakt op
0;3060;306004;0;Kolenkaai (eind- Zwaluwenstraat) paar-onpaar (zuid);0;0;0;;16;51.2191067233912,51.2191067233912,51.2191067233912,51.2191067233912;3.21144982531918,3.21144982531918,3.21144982531918,3.21144982531918;12/08/2016
0;4066;406601;0;Hogeweg (Legeweg - bocht) onpaar (west);0;0;0;;15;51.2046125714466,51.2046125714466;3.20197684705093,3.20197684705093;12/08/2016
0;0;400511;12;Abdijbekestraat (Frederik Sanderpark) (noord);10;0;12;;15;51.1998476835189,51.1998476835189;3.20730864477457,3.20730864477457;12/08/2016
0;3068;306804;22;Lauwerstraat ( Leopold I laan- Gouden Boomstraat) onpaar ( zuid);7;0;22;;16;51.2143467563723,51.2143467563723,51.2143467563723;3.20855297413055,3.20855297413055,3.20855297413055;12/08/2016
0;1027;102702;10;Daverlostraat onpaar (oost);8;0;10;;19;51.2019983604168,51.2019983604168,51.2019983604168,51.2019983604168,51.2019983604168,51.2019983604168,51.2019983604168,51.2019983604168,51.2019983604168,51.2019983604168,51.2019983604168;3.2374146837135,3.2374146837135,3.2374146837135,3.2374146837135,3.2374146837135,3.2374146837135,3.2374146837135,3.2374146837135,3.2374146837135,3.2374146837135,3.2374146837135;12/08/2016
0;3090;309008;0;Scheepsdalelaan (Keizer Karelstraat- Filips De Goedestraat) onpaar (zuid);0;0;0;;16;51.216100448057,51.216100448057;3.21427371824119,3.21427371824119;12/08/2016
0;0;610403;12;De Mote (rusthuis) (oost);1;0;12;;18;51.2083288733384,51.2083288733384;3.24504284690749,3.24504284690749;12/08/2016
0;4060;406001;0;Goudsbloemlaan paar (west);0;0;0;;15;51.1981065724821,51.1981065724821,51.1981065724821,51.1981065724821,51.1981065724821,51.1981065724821,51.1981065724821,51.1981065724821;3.20666767085541,3.20666767085541,3.20666767085541,3.20666767085541,3.20666767085541,3.20666767085541,3.20666767085541,3.20666767085541;12/08/2016
0;0; 110304;7;Maaike Kerrebroeckstraat ( Nijverheidsstraat- Van den Radestraat) (zuid);6;0;7;;19;51.2049515215258,51.2049515215258;3.23976153671505,3.23976153671505;12/08/2016
0;6063;606304;15;Speelpleinlaan ( Nijverheidsstraat-bocht) onpaar (zuid);5;0;15;;18;51.2074008328329,51.2074008328329;3.2412888326894,3.2412888326894;12/08/2016
0;1023;102301;9;Cesar Gezellestraat (Daverlostraat - Evert van Het Padstraat) onpaar (noord);8;0;9;;19;51.200136785967,51.200136785967,51.200136785967;3.2388210792788,3.2388210792788,3.2388210792788;12/08/2016
0;0;501403;8;Havenstraat (Sluisstraat - Krommestraat) (west);4;0;8;;17;51.2241822962574,51.2241822962574,51.2241822962574;3.22681503420806,3.22681503420806,3.22681503420806;12/08/2016
0;0;699001;8;Zoete Inval (Driekoningenweg- bocht) paar ( west);4;0;8;;18;51.211638773403,51.211638773403,51.211638773403,51.211638773403,51.211638773403;3.24616607393332,3.24616607393332,3.24616607393332,3.24616607393332,3.24616607393332;12/08/2016
0;1034;103401;24;Evert van Het Padstraat onpaar (west);21;0;24;;19;51.2018388636218,51.2018388636218,51.2018388636218,51.2018388636218,51.2018388636218,51.2018388636218,51.2018388636218;3.23867103959884,3.23867103959884,3.23867103959884,3.23867103959884,3.23867103959884,3.23867103959884,3.23867103959884;12/08/2016
0;3019;301904;14;Gerard Davidstraat (Houtkaai- de Floustraat) onpaar (west);14;0;14;;16;51.217518801353,51.217518801353,51.217518801353,51.217518801353,51.217518801353,51.217518801353,51.217518801353;3.20645539858503,3.20645539858503,3.20645539858503,3.20645539858503,3.20645539858503,3.20645539858503,3.20645539858503;12/08/2016
