Deelgemeente;Straat;Locatie;element;aantal;latWGS84;loWGS84;Aangemaakt op
Centrum;Bargeweg;busparking;banken met betonsokkel;4;51.1953604754761,51.1953604754761,51.1953604754761,51.1953604754761;3.22591558293917,3.22591558293917,3.22591558293917,3.22591558293917;22/06/2016
Sint-Michiels;Parklaan;hoek Spoorwegstraat;banken met betonsokkel;1;51.1839422653141;3.22400266718989;22/06/2016
Sint-Pieters;Steenkaai;park;banken met betonsokkel;6;51.2188045634985;3.20740693844795;22/06/2016
Centrum;Sint-Gilliskerkhof;;zwanehalsbank;2;51.2149730444587,51.2149730444587;3.22689100412839,3.22689100412839;22/06/2016
Centrum;Annuntiatenstraat;speelplein;picknicktafel;1;51.2154966655878;3.22471382371308;22/06/2016
Zeebrugge;Sint-Georges-Day-Wandeling;;;38;51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564,51.3340365093564;3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772,3.18000571920772;22/06/2016
Zeebrugge;Sint-Donaasstraat;park;banken met betonsokkel;15;51.3337950018207,51.3337950018207,51.3337950018207,51.3337950018207,51.3337950018207,51.3337950018207,51.3337950018207,51.3337950018207,51.3337950018207,51.3337950018207,51.3337950018207,51.3337950018207,51.3337950018207,51.3337950018207,51.3337950018207;3.20898067904772,3.20898067904772,3.20898067904772,3.20898067904772,3.20898067904772,3.20898067904772,3.20898067904772,3.20898067904772,3.20898067904772,3.20898067904772,3.20898067904772,3.20898067904772,3.20898067904772,3.20898067904772,3.20898067904772;22/06/2016
Sint-Andries;Oorlogsvrijwilligerslaan;langs fietspad;banken met betonsokkel;6;51.1853536577465,51.1853536577465,51.1853536577465,51.1853536577465,51.1853536577465,51.1853536577465;3.17570946523725,3.17570946523725,3.17570946523725,3.17570946523725,3.17570946523725,3.17570946523725;22/06/2016
Christus-Koning;Werfplein;petanqueveld;banken met betonsokkel;2;51.2189074669563,51.2189074669563;3.21805541377861,3.21805541377861;22/06/2016
Christus-Koning;Scheepsdalelaan;;houten banken;2;51.2160410361099,51.2160410361099;3.21418849662509,3.21418849662509;22/06/2016
Assebroek;Prinses Lilianelaan;;bank met betonsokkel;1;51.1947816034047;3.25143499297345;22/06/2016
Zeebrugge;Evendijk-Oost;De Landdijk;banken met betonsokkel;2;51.3303545569998,51.3303545569998;3.21397001073958,3.21397001073958;22/06/2016
Centrum;Stationsplein;;draadbanken;22;51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678,51.1976612972678;3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735,3.21819924693735;22/06/2016
Lissewege;Oude Pastoriestraat;park;zwanehalsbank;1;51.2943282111656;3.20070351080078;22/06/2016
Sint-Michiels;Binnenhof;speelplein;banken met betonsokkel;2;51.1780339194976,51.1780339194976;3.21786979965698,3.21786979965698;22/06/2016
Sint-Andries;Jonkheer Paul Coppietersdreef;Jacques van Delft;houten banken;2;51.1963907477294,51.1963907477294;3.20007608933825,3.20007608933825;22/06/2016
Sint-Kruis;Moerkerkse Steenweg;huisnr 191;banken met betonsokkel;1;51.2138231251317;3.25087570070492;22/06/2016
Sint-Michiels;Koningin Astridlaan;krachtbalterrein;banken met betonsokkel;3;51.1874907198127,51.1874907198127,51.1874907198127;3.20642852569383,3.20642852569383,3.20642852569383;22/06/2016
