Deelgemeente;Straat;Locatie;element;aantal;latWGS84;loWGS84;Aangemaakt op
Centrum;Hugo Losschaertstraat;in hoek;draadbanken;5;51.21443943819,51.21443943819,51.21443943819,51.21443943819,51.21443943819;3.22025243054759,3.22025243054759,3.22025243054759,3.22025243054759,3.22025243054759;22/06/2016
Sint-Michiels;Wagenbruggelaan;thv nr 69;banken met betonsokkel;1;51.1759931417934;3.21870178027619;22/06/2016
Sint-Andries;Hogeweg;Ter Lindenhof;banken met betonsokkel;1;51.2062972264253;3.20165619345625;22/06/2016
Assebroek;Tramstraat;pleintje;banken met betonsokkel;3;51.2037723901516,51.2037723901516,51.2037723901516;3.24670765575209,3.24670765575209,3.24670765575209;22/06/2016
Centrum;Oostmeers;Noord-Zuid;zwanehalsbank;4;51.2006600856101,51.2006600856101,51.2006600856101,51.2006600856101;3.22102682925164,3.22102682925164,3.22102682925164,3.22102682925164;22/06/2016
Assebroek;Tragelweg;aan fietsbrug;banken met betonsokkel;2;51.1920557283495,51.1920557283495;3.23135580947388,3.23135580947388;22/06/2016
Sint-Andries;Klauwijzerstraat;speelplein;banken met betonsokkel;2;51.1968921074844,51.1968921074844;3.17096759210075,3.17096759210075;22/06/2016
Dudzele;Amaat Vynckestraat;hoek Westkapelse Stwg;banken met betonsokkel;1;51.2750927863896;3.2275534984571;22/06/2016
Assebroek;Lindelaan;speelplein;banken met betonsokkel;1;51.1970373519937;3.25629451355372;22/06/2016
Zeebrugge;Veerbootstraat;parkje hoek Kustlaan;zwanehalsbank;2;51.327677789744,51.327677789744;3.19088482489783,3.19088482489783;22/06/2016
Koolkerke;Gemene-Weidestraat;;banken met arduinen sokkel;11;51.2324564757626,51.2324564757626,51.2324564757626,51.2324564757626,51.2324564757626,51.2324564757626,51.2324564757626,51.2324564757626,51.2324564757626,51.2324564757626,51.2324564757626;3.24553214952755,3.24553214952755,3.24553214952755,3.24553214952755,3.24553214952755,3.24553214952755,3.24553214952755,3.24553214952755,3.24553214952755,3.24553214952755,3.24553214952755;22/06/2016
Sint-Pieters;Blankenbergse Steenweg;thv stichting Moulaert hoek St-Piet;zwanehalsbank;2;51.2291332187245,51.2291332187245;3.20632843189953,3.20632843189953;22/06/2016
Sint-Andries;Koude Keuken;vijver;banken met betonsokkel;5;51.2043151970817,51.2043151970817,51.2043151970817,51.2043151970817,51.2043151970817;3.18147835183591,3.18147835183591,3.18147835183591,3.18147835183591,3.18147835183591;22/06/2016
Sint-Pieters;Lodewijk Gilliodtsplein;op plein;banken met betonsokkel;4;51.2248429545768,51.2248429545768,51.2248429545768,51.2248429545768;3.20902277748658,3.20902277748658,3.20902277748658,3.20902277748658;22/06/2016
Assebroek;Sint-Lucaslaan;straat;banken met betonsokkel;2;51.1863295128654,51.1863295128654;3.24855780048888,3.24855780048888;22/06/2016
Sint-Andries;Gagelstraat;doorsteek Dopheide;banken met betonsokkel;1;51.1913112153699;3.16813422389733;22/06/2016
Assebroek;Gemene Weidebeek;in natuurgebied;houten banken;6;51.2008489580454,51.2008489580454,51.2008489580454,51.2008489580454,51.2008489580454,51.2008489580454;3.2595183425019,3.2595183425019,3.2595183425019,3.2595183425019,3.2595183425019,3.2595183425019;22/06/2016
Centrum;Jakob van Ooststraat;;draadbanken;4;51.2103771204769,51.2103771204769,51.2103771204769,51.2103771204769;3.22354234013006,3.22354234013006,3.22354234013006,3.22354234013006;22/06/2016
Assebroek;Daverlostraat;Daverlopark;banken met betonsokkel;6;51.1929215841802,51.1929215841802,51.1929215841802,51.1929215841802,51.1929215841802,51.1929215841802;3.24543589696639,3.24543589696639,3.24543589696639,3.24543589696639,3.24543589696639,3.24543589696639;22/06/2016
Christus-Koning;Scheepsdalelaan;aan bushalte thv nr 73;zwanehalsbank;0;51.2186781374846;3.20999533192581;22/06/2016
Centrum;Oostmeers;binnentuinen;banken met betonsokkel;6;51.204440872251,51.204440872251,51.204440872251,51.204440872251,51.204440872251,51.204440872251;3.22347955847431,3.22347955847431,3.22347955847431,3.22347955847431,3.22347955847431,3.22347955847431;22/06/2016
Centrum;Sint-Brunostraat;in hoek kant gerechtsgebouw;banken met betonsokkel;1;51.2102735830833;3.23977301851902;22/06/2016
Sint-Kruis;Blauwkasteelweg;speelplein Gulden Kamer;banken met betonsokkel;3;51.2168077445207,51.2168077445207,51.2168077445207;3.24689975323919,3.24689975323919,3.24689975323919;22/06/2016
Sint-Pieters;Cuwaertpad;aan huizen oude van dagen;zwanehalsbank;2;51.232276971381,51.232276971381;3.20784302580903,3.20784302580903;22/06/2016
Sint-Michiels;Stokveldewijk;dreef;banken met betonsokkel;11;51.1753859060682,51.1753859060682,51.1753859060682,51.1753859060682,51.1753859060682,51.1753859060682,51.1753859060682,51.1753859060682,51.1753859060682,51.1753859060682,51.1753859060682;3.21229004205514,3.21229004205514,3.21229004205514,3.21229004205514,3.21229004205514,3.21229004205514,3.21229004205514,3.21229004205514,3.21229004205514,3.21229004205514,3.21229004205514;22/06/2016
Centrum;Koningin Astridpark;;zwanehalsbank;23;51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428,51.2064893476428;3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345,3.23052253070345;22/06/2016
sint-Michiels;Rijselstraat;ingang park de rode poort;banken met betonsokkel;1;51.1786222771496;3.2084708602586;22/06/2016
Sint-Jozef;Paul Devauxstraat;pleintje;zwanehalsbank;5;51.2261553192478,51.2261553192478,51.2261553192478,51.2261553192478,51.2261553192478;3.23756706015023,3.23756706015023,3.23756706015023,3.23756706015023,3.23756706015023;22/06/2016
Zwankendamme;Lisseweegse Steenweg;voor nr 104;banken met betonsokkel;1;51.3097602246263;3.19613600599746;22/06/2016
Centrum;Minneboplein;;zwanehalsbank;3;51.2106012002149,51.2106012002149,51.2106012002149;3.23151260124426,3.23151260124426,3.23151260124426;22/06/2016
Sint-Pieters;Steenkaai;park;banken met betonsokkel;6;51.2183897445165;3.20599640208342;22/06/2016
Dudzele;Watergang;hoek Herdersbruggestraat;draadbanken;2;51.2721195905897,51.2721195905897;3.22362669543075,3.22362669543075;22/06/2016
Sint-Andries;Hertogenstraat;speelplein;picknick;1;51.1986163622237;3.20072311456168;22/06/2016
Centrum;Minnewaterpark;in park;zwanehalsbank;35;51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395,51.1987687647395;3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371,3.22436760265371;22/06/2016
Sint-Andries;Knotwilgenlaan;speelplein aan petanque;banken met betonsokkel;1;51.2076459612733;3.17711906271739;22/06/2016
Sint-Michiels;Stokveldelaan;hoek Ten Putte;banken met betonsokkel;1;51.1729463678502;3.21738130016219;22/06/2016
Sint-Pieters;Tempelhof;aan speelplein;banken met betonsokkel;2;51.2273038741405,51.2273038741405;3.20378460282778,3.20378460282778;22/06/2016
Assebroek;Sint-Kristoffelstraat;aan kerk;banken met betonsokkel;1;51.2017787337451;3.2492291981272;22/06/2016
Koolkerke;Arendstraat;speelplein;banken met betonsokkel;1;51.2416960720704;3.24689915680231;22/06/2016
Sint-Pieters;Molengeleed;op grasplein achter huizen;banken met betonsokkel;4;51.2263595554935,51.2263595554935,51.2263595554935,51.2263595554935;3.198280634614,3.198280634614,3.198280634614,3.198280634614;22/06/2016
Centrum;Walplein;;zwanehalsbank;3;51.2026550149912,51.2026550149912,51.2026550149912;3.22419114497088,3.22419114497088,3.22419114497088;22/06/2016
Centrum;Bargeweg;aan stuk richting Minnewaterpark;banken met arduinen sokkel;10;51.1981293439439,51.1981293439439,51.1981293439439,51.1981293439439,51.1981293439439,51.1981293439439,51.1981293439439,51.1981293439439,51.1981293439439,51.1981293439439;3.22571314108059,3.22571314108059,3.22571314108059,3.22571314108059,3.22571314108059,3.22571314108059,3.22571314108059,3.22571314108059,3.22571314108059,3.22571314108059;22/06/2016
Sint-Andries;Oorlogsvrijwilligerslaan;speelplein;banken met betonsokkel;3;51.1849449090466,51.1849449090466,51.1849449090466;3.17516856473638,3.17516856473638,3.17516856473638;22/06/2016
Sint-Andries;Bosdreef;Oude van dagen;banken met betonsokkel;4;51.1949940183523,51.1949940183523,51.1949940183523,51.1949940183523;3.17418860572265,3.17418860572265,3.17418860572265,3.17418860572265;22/06/2016
Sint-Kruis;Warrenplein;straat en plein;banken met betonsokkel;4;51.2167310226811,51.2167310226811,51.2167310226811,51.2167310226811;3.25201832063818,3.25201832063818,3.25201832063818,3.25201832063818;22/06/2016
Lissewege;Stormvogelstraat;bushalte;banken met betonsokkel;1;51.2913451220399;3.1878152362823;22/06/2016
Sint-Kruis;Blauwkasteelweg;veld 2;banken met betonsokkel;2;51.2173038702425,51.2173038702425;3.24764805337359,3.24764805337359;22/06/2016
Sint-Andries;Kosterijstraat;thv serviceflats;banken met betonsokkel;3;51.197790392864,51.197790392864,51.197790392864;3.17648718395552,3.17648718395552,3.17648718395552;22/06/2016
Centrum;Steenhouwersdijk;;zwanehalsbank;3;51.2084146266771,51.2084146266771,51.2084146266771;3.22852184997985,3.22852184997985,3.22852184997985;22/06/2016
Assebroek;Hervé Stalpaertstraat;speelplein;banken met betonsokkel;1;51.1994387428934;3.24602238560096;22/06/2016
Sint-Andries;Tudor;siertuin;teak banken;8;51.1703614954588,51.1703614954588,51.1703614954588,51.1703614954588,51.1703614954588,51.1703614954588,51.1703614954588,51.1703614954588;3.16726814336533,3.16726814336533,3.16726814336533,3.16726814336533,3.16726814336533,3.16726814336533,3.16726814336533,3.16726814336533;22/06/2016
Centrum;Annuntiatenstraat;speelplein;banken met betonsokkel;2;51.2153850652524,51.2153850652524;3.22443794249758,3.22443794249758;22/06/2016
Sint-Andries;Doornstraat;rondpunt;banken met betonsokkel;2;51.193626893104,51.193626893104;3.19423246052902,3.19423246052902;22/06/2016
Centrum;Hoefijzerlaan;;banken met betonsokkel;2;51.2082487427915,51.2082487427915;3.21571513520035,3.21571513520035;22/06/2016
Lissewege;Pol Dhondtstraat;hoek Stationsstraat;banken met betonsokkel;2;51.2946259449504,51.2946259449504;3.19541729634482,3.19541729634482;22/06/2016
Sint-Pieters;Tempelhof;aan voetbalpleinen;banken met betonsokkel;3;51.2272535404771,51.2272535404771,51.2272535404771;3.2026747918625,3.2026747918625,3.2026747918625;22/06/2016
Sint-Pieters;Blauwhuisstraat;toegang tot Ooievaarsbos;banken met betonsokkel;2;51.2371115433423,51.2371115433423;3.20229169167041,3.20229169167041;22/06/2016
Sint-Kruis;Veltemweg;Interbad;banken met betonsokkel;4;51.2079359884899,51.2079359884899,51.2079359884899,51.2079359884899;3.25737037042971,3.25737037042971,3.25737037042971,3.25737037042971;22/06/2016
Centrum;Guido Gezellelaan;;zwanehalsbank;13;51.2057371639346,51.2057371639346,51.2057371639346,51.2057371639346,51.2057371639346,51.2057371639346,51.2057371639346,51.2057371639346,51.2057371639346,51.2057371639346,51.2057371639346,51.2057371639346,51.2057371639346;3.21235698278534,3.21235698278534,3.21235698278534,3.21235698278534,3.21235698278534,3.21235698278534,3.21235698278534,3.21235698278534,3.21235698278534,3.21235698278534,3.21235698278534,3.21235698278534,3.21235698278534;22/06/2016
Zeebrugge;Paardenmarktstraat;;;6;51.3329999326327,51.3329999326327,51.3329999326327,51.3329999326327,51.3329999326327,51.3329999326327;3.19776466364976,3.19776466364976,3.19776466364976,3.19776466364976,3.19776466364976,3.19776466364976;22/06/2016
Sint-Michiels;Josué Maertenstraat;grasplein;banken met betonsokkel;1;51.1883318017559;3.21955959709577;22/06/2016
Koolkerke;Arendstraat;kerkhof;draadbanken;2;51.2420261662675,51.2420261662675;3.24810416616141,3.24810416616141;22/06/2016
