MEETPUNT_ID;X;Y;HERKENNINGSPUNT1;HERKENNINGSPUNT2;latWGS84;loWGS84;Aangemaakt op
1594;66700;226500;Westdam  1050m vanaf St.-George's day-wandeling;;51.3422580122209;3.17329960054314;22/06/2016
1309;67050;214500;Oostendse steenweg  100m van Blauwe Torenst NW;;51.2344646015814;3.18107446015928;22/06/2016
1251;66050;213150;Kleine Moerstraat  grens met Meetkerke;;51.2221876849935;3.16707195892577;22/06/2016
1546;66750;224000;Evendijk West  gem. grens met Blankenberge;;51.3197983297166;3.17459393088374;22/06/2016
1320;72500;214500;Nooweegse kaai  knik in Damse Vaart;;51.2352219477104;3.25909585480175;22/06/2016
1378;71500;217000;Koolkerkse wegel  600m richting N van Ronselarestraat;;51.2575548758324;3.24423852863916;22/06/2016
1366;71050;216500;Kruisabelestraat  250m richting N van Koolkerkse wegel;;51.2529994316481;3.23790181411451;22/06/2016
1598;68500;226800;Leopold II dam  50m van einde dam kade 101;;51.3452113556686;3.19905967980243;22/06/2016
1525;68550;223100;Lisseweegse steenweg  nabij verbindingsdok;;51.3119667629443;3.20061230561011;22/06/2016
1232;67450;212600;Steenkaai -- zijweg west Expresweg N 31;;51.2174459316188;3.18723351114671;22/06/2016
1396;70050;218250;Dudzeelse steenweg;Landslag;51.268590269308;3.22319433800817;22/06/2016
1125;69550;210100;Spoorwegstraat  fietspad Kerkebeek Groene Poorte;;51.195274023766;3.21783942161733;22/06/2016
1412;72000;218500;Zwiersweg   einde  (pijpekop);;51.2711036379961;3.25107560787294;22/06/2016
1627;70000;228350;Oostdam 45m (noord-west) vanaf gasterminal;;51.3593515445154;3.22024078750777;22/06/2016
1530;71250;223100;Alfred Ronsestraat;Barlenhuisstraat;51.3123419771085;3.2393282676961;22/06/2016
1282;71500;213600;Damse Vaart-zuid  350m NO van Karel van Manderstraat;;51.2269977015343;3.24497518525459;22/06/2016
1262;71500;213000;Wiedowbos  uiterst noord westelijk;;51.2216056971683;3.24510507178632;22/06/2016
1188;69000;211500;Lange Vesting   50m vanaf Sint-Jansdreef;;51.2077793266039;3.20966085488375;22/06/2016
1151;72600;210900;Vossensteert;Zuiderakker;51.2028808545899;3.26129624591381;22/06/2016
1364;69700;216700;Lodewijk Coiseaukaai;Ter Bollestraat;51.2546112466599;3.21852405101924;22/06/2016
1480;71000;221000;Zuidelijk kanaaldok  kade (513);;51.2934352330759;3.23620298365277;22/06/2016
1117;65600;210250;Zandstraat;Kraaiendreef;51.1960591069361;3.16130582321225;22/06/2016
1462;69500;220800;"""den overzet"" 650m zuid-oost";;51.291430878414;3.21474648631853;22/06/2016
1170;71500;211000;Kleinweg  (Blekerijstraat oost);;51.2036314937773;3.24553782866175;22/06/2016
1260;70650;213000;Wulpenstraat -- dampoortsluisbrug noord;;51.2214895206715;3.23293939392563;22/06/2016
1210;68000;212150;Lieven Bouwensstraat;Lieven Bouwensstraat;51.2134797231555;3.19520509074171;22/06/2016
1269;75300;213350;Maleveld  de meest noord-oostelijke pijpekop;;51.225255297227;3.29941763767457;22/06/2016
1167;70000;211000;Walplein;Zonnekemeers;51.2034257180955;3.2240781650803;22/06/2016
1371;68000;217250;Zeelaan;Krinkelstraat;51.2593145348016;3.19405111371298;22/06/2016
1060;65250;208700;Doornstraat;Zeeweg;51.1820772482737;3.15666133586981;22/06/2016
1041;70050;207950;Heidelbergstraat;t Kloosterhof;51.1760205215514;3.225465255288;22/06/2016
1218;72100;212000;Schaakstraat;Altenastraat;51.2126998391147;3.25390632599043;22/06/2016
1625;68900;228300;havengeul Oostdam einde zuid splitsing (strekdam);;51.3587481649699;3.20446242776686;22/06/2016
1557;66200;224500;Kustlaan  1250m vanaf Baron de Maerelaan naar Bla.;;51.3242113000852;3.16658894917324;22/06/2016
1443;67450;220000;Patentestraat;Assestraat;51.2839512096528;3.18554683294106;22/06/2016
1201;75600;211600;Antwerpse Heerweg   gemeentegrens met Sijsele;;51.2095661704775;3.30407205905389;22/06/2016
1332;71050;215000;Paverleutestraat  400m vanaf Dudzeelse steenweg;;51.2395195572988;3.23822870087293;22/06/2016
1362;68700;216950;Lentestraat;Sint-Pietersstraat;51.256717644243;3.20414466301255;22/06/2016
1445;68500;220050;Ter Doestdreef  350m van ter Doeststraat (bocht);;51.2845500603776;3.20058279340647;22/06/2016
1106;69600;209550;Groene Poortedreef;Karel de Wolfstraat;51.1903373162252;3.21867666608307;22/06/2016
1423;71700;219050;Damse steenweg 350m in Zwiersweg hoek met wegel;;51.2760053819385;3.24665880157212;22/06/2016
1196;73000;211500;Maalse steenweg;Vossensteert;51.2083263757292;3.26689160252218;22/06/2016
1284;73000;213700;Spijkerwegel dreef NNW pijpekop;;51.2280987364794;3.26642454325955;22/06/2016
1283;72050;213500;Gemene Weideweg Noord  450m van Damse Vaart Zuid;;51.2261743081097;3.25286821402551;22/06/2016
1374;69650;217250;Ter Bollestraat;Bouillonbeek;51.259546669794;3.21768566402679;22/06/2016
1449;70700;220100;Kasteelstraat  pijpekop aan Havenrandweg-Zuid;;51.2853051241392;3.23210052959405;22/06/2016
1278;69600;213500;Jacob van Arteveldestraat -- Nijverheidsdok;;51.2258383753235;3.21780138869944;22/06/2016
1467;72150;220500;Westkapelse steenweg 600m voorbij Zwiersweg NW;;51.2890976534896;3.25279501831508;22/06/2016
1573;69050;225000;Evendijk-Oost;Distelstraat;51.3291126325576;3.20735682390193;22/06/2016
1200;75000;211600;Antwerpse Heerweg  400m vanaf Holleweg;;51.2094885689254;3.29548587157346;22/06/2016
1431;68550;219800;Parking aan monumentale schuur Ter Doest;;51.2823095665986;3.20135592277901;22/06/2016
1230;66450;212500;Steenkaai;Kleine Moerstraat;51.2164030877287;3.1729466445605;22/06/2016
1148;71150;210550;Daverloostraat;Rubenslaan;51.199539214415;3.24062844801045;22/06/2016
1291;67150;214400;Oostendse steenweg;Blauwe Torenstraat;51.2335799280739;3.18252939765064;22/06/2016
1074;72000;208500;Oostkampse meersen;;51.1812295063918;3.25322693865715;22/06/2016
1279;70100;213550;Binnenweg  Kultuurcentrum De Entrepot;;51.2263561512758;3.22494763905793;22/06/2016
1307;66450;214700;Oostendse steenweg;Zuienkerkestraat;51.2361749989787;3.17243965498836;22/06/2016
1348;72000;215700;Brugse steenweg  200m vanaf Fortstraat richting N;;51.2459397169918;3.25167880447807;22/06/2016
1460;68500;220700;Ter Doeststraat;Pontstraat;51.2903913889058;3.20043630081825;22/06/2016
1184;67000;211500;Meiboomlaan  pijpekop aan kapel;;51.2074954020449;3.18104507068131;22/06/2016
1472;67050;221100;Patentestraat;Scharphoutstraat;51.2937795342256;3.17956196567579;22/06/2016
1078;74100;208900;Oude trambedding  grens met Oedelem;;51.1851042467552;3.28317392828401;22/06/2016
1536;68000;223600;Lisseweegse steenw.;Lanceloot Blondeelln;51.3163826638453;3.19261110987795;22/06/2016
1288;74700;213550;Moerkerkse steenweg  grens met Vijvekapelle;;51.2269743385471;3.29078889003532;22/06/2016
1044;65150;208100;Kasteel Beisbroek  parking aan sterrewacht;;51.1766694161432;3.15537104152211;22/06/2016
1550;68700;224050;Kotterstraat  einde (pijpekop);;51.3205262271147;3.20254827891738;22/06/2016
1303;72600;214100;Polderstraat;Broekweg;51.2316403137745;3.26061339091287;22/06/2016
1553;70300;224000;kade Verbindingsdok;terplaatse te bepalen;51.3203002332149;3.22550763520027;22/06/2016
1633;68500;228600;Oostdam aan splitsing weststrekdam en zuidstrekdam;;51.3613875104544;3.19865284303462;22/06/2016
1519;71700;222500;Aziëstraat;Barlenhuisstraat;51.3070114703891;3.24591163579822;22/06/2016
1008;65000;206600;Diksmuidse Heerweg   900m ZW vanaf De Watermolen;;51.1631673568131;3.15357825424585;22/06/2016
1016;69000;206500;Oostkampse Baan (Loppem);Arentsdreef (Loppem);51.162842513884;3.21077594581496;22/06/2016
1358;71600;216300;Ronselarestraat;Koolkerkse Wegel;51.2512774747548;3.24582102728419;22/06/2016
1111;72000;209500;Olmendreef;Weidestraat;51.190217874061;3.25301215905266;22/06/2016
1114;73600;209600;Pannenhuisstraat;D. Busschaertstraat;51.1913295445234;3.27587559843162;22/06/2016
1558;66500;224600;Kustlaan  950m vanaf Baron de Maerelaan naar Blan.;;51.3251538697291;3.17087029938132;22/06/2016
1225;75550;212400;Brieversweg   1100m vanaf Maleveld aan wegel;;51.2167499520598;3.30319220771836;22/06/2016
1122;68100;210000;Expresweg (westbaan);Doornstraat;51.1941712558204;3.19712172644786;22/06/2016
1609;69950;227250;Gasterminal  zuidwest (midden kadebocht);;51.3494590622925;3.2197670330026;22/06/2016
1014;68700;206700;Heidelbergstraat;spoorweg Kortrijk;51.164597369091;3.20644158969251;22/06/2016
