Functie;Objectnaam;HMpunt;KadeNR;Naam_locatie;Naam_waterweg;LatWGS84;LoWGS84;latWGS84;loWGS84;Aangemaakt op
Km-punt op as waterweg;Zuidelijk Insteekdok km 0.9;0,9;;Zeebrugge;Zuidelijk Insteekdok;51,3009180;3,234716;51.3009179993228;3.23471599918122;06/07/2016
Ligplaats met overslag;Ligplaats 128;-99,9;128;Zeebrugge;Albert II dok;51,3512640;3,188365;51.3512640001136;3.18836499911164;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 99;9,9;;Zeebrugge;Kanaal Brugge-Zeebrugge;51,3100990;3,202676;51.3100989997776;3.2026759989504;06/07/2016
Km-punt op as waterweg;LNG km 0.3;0,3;;Zeebrugge;LNG;51,3521640;3,214027;51.3521639999372;3.21402700097447;06/07/2016
Dok;Klein Handelsdok;-99,9;;Brugge;Klein Handelsdok;51,2296820;3,224623;51.2296819994652;3.22462300030678;06/07/2016
Km-punt op as waterweg;Brittaniadok km 0.3;0,3;;Zeebrugge;Brittaniadok;51,3437450;3,219432;51.3437450001833;3.21943199914672;06/07/2016
Km-punt op as waterweg;Nijverheidsdok km 0.9;0,9;;Brugge;Nijverheidsdok;51,2332760;3,218357;51.2332760006937;3.21835699893064;06/07/2016
Ligplaats met overslag;Ligplaats 507;-99,9;507;Zeebrugge;Zuidelijk Insteekdok;51,3117460;3,223136;51.3117460001889;3.22313600095727;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 110;11,0;;Zeebrugge;Kanaal Brugge-Zeebrugge;51,3198630;3,200190;51.3198629994229;3.20019000124983;06/07/2016
Terminal;SST (Seaport Shipping and Trading) ligplaats 921;-99,9;;Brugge;Klein Handelsdok;51,2306080;3,225513;51.2306080005779;3.22551299979405;06/07/2016
Dok;Oud Ferrydok;-99,9;;Zeebrugge;Oud Ferrydok;51,3190490;3,197945;51.3190489994003;3.1979449993781;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 9;0,9;;Brugge;Kanaal Brugge-Zeebrugge;51,2301450;3,221725;51.230145000122;3.22172500057482;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 117;11,7;;Zeebrugge;Kanaal Brugge-Zeebrugge;51,3260710;3,198584;51.3260709997823;3.1985840004291;06/07/2016
Km-punt op as waterweg;Brittaniadok km 1.1;1,1;;Zeebrugge;Brittaniadok;51,3461160;3,210360;51.346116000673;3.21036000096525;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 40;4,0;;Brugge;Kanaal Brugge-Zeebrugge;51,2577310;3,215704;51.2577309997777;3.21570399926532;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 41;4,1;;Brugge;Kanaal Brugge-Zeebrugge;51,2586180;3,215475;51.2586180005424;3.21547499897877;06/07/2016
Km-punt op as waterweg;Brittaniadok km 1;1,0;;Zeebrugge;Brittaniadok;51,3453980;3,211225;51.345397999417;3.21122500000754;06/07/2016
