Aard;Do_dossier;Do_dossier_2;El_element;El_element_2;El_element_3;El_element_4;Af_pv_numm;Fe_volgnum;Fe_type;Feitcodegr;Fe_aard;Avoc;Avoc_bet;Avoc_sum_o;Avoc_sum_c;Number_dea;Number_ser;Number_lig;Number_not;Fe_datum_v;Fe_uur_van;Fe_datum_t;Fe_uur_tot;Datum;Year;Month;Week_of_ye;Day_of_wee;Weekend;Hour;Hour_group;Day_night_;Day_night__2;Fe_straat;Fe_huisnum;Fe_busnumm;Fe_postcod;Fe_gemeent;Fe_land;Fe_kruispu;Fe_hm_paal;Fe_lokale_;Fe_poging;Fe_zware_o;Fe_minderj;Geocodetyp;Location;Location_v;El_datum_c;latWGS84;loWGS84;Aangemaakt op
PV;2016;21809;VO;2016;300432;Verzonden;BG.81.L1.300432/2016;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20160304;0930;20160304;0933;20160304;2016;march;9;friday;0;0933;09;day;day;Collegestraat;;;8310;BRUGGE;België;Vondelstraat;;;;;;AnchorPoints;politiezone;;20160304;51.2033897400309;3.24906139606575;31/10/2017
PV;2014;90012;VO;2014;302072;Verzonden;BG.91.L1.302072/2014;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20140917;2000;20140918;0845;20140918;2014;september;38;thursday;0;0845;08;day;day;Rijkepijndersstraat;2;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20140918;51.2140621558994;3.23127138140343;31/10/2017
PV;2015;24589;VO;2015;300642;Verzonden;BG.91.L1.300642/2015;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20150325;0530;20150325;0530;20150325;2015;march;13;wednesday;0;0530;05;night;night;Zeebruggelaan;73;;8380;BRUGGE;België;;15.5;;;;;AnchorPoints;politiezone;;20150325;51.2962317823695;3.19181870272377;31/10/2017
PV;2014;11823;VO;2014;300291;Verzonden;BG.91.L1.300291/2014;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20140203;1600;20140203;1600;20140203;2014;february;6;monday;0;1600;16;day;day;Kazernevest;3;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20140203;51.2104941576393;3.24047611189028;31/10/2017
PV;2016;65966;VO;2016;301479;Verzonden;BG.81.L1.301479/2016;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;2;0;2;0;0;2;1;20160727;1235;20160727;1235;20160727;2016;july;30;wednesday;0;1235;12;day;day;Maalse Steenweg;328A;;8310;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20160727;51.2086922028813;3.26082991413536;31/10/2017
PV;2015;84949;VO;2015;301941;Verzonden;BG.81.L1.301941/2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150922;1120;20150922;1120;20150922;2015;september;39;tuesday;0;1120;11;day;day;Baron Ruzettelaan;;;8310;BRUGGE;België;Vestingstraat;104.3;;;;;AnchorPoints;politiezone;;20150922;51.1984841997549;3.23095934348803;31/10/2017
PV;2016;92222;VO;2016;302147;Verzonden;BG.81.L1.302147/2016;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;2;0;2;0;0;2;0;20161020;1424;20161020;1424;20161020;2016;october;42;thursday;0;1424;14;day;day;;;;82000;;België;;;;;;;AnchorPoints;politiezone;;20161020;51.1844356068639;3.20256406491;31/10/2017
PV;2015;23042;VO;2015;300601;Verzonden;BG.85.L1.300601/2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;3;3;0;1;0;1;0;1;20150317;1700;20150317;1700;20150317;2015;march;12;tuesday;0;1700;17;day;day;Sint-Pieterskaai;;;8000;BRUGGE;België;Blankenbergse Steenweg;;;;;;AnchorPoints;politiezone;;20150319;51.2195368120383;3.20933549157968;31/10/2017
PV;2014;52359;VO;2014;301158;Verzonden;BG.91.L1.301158/2014;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20140523;1500;20140525;1200;20140525;2014;may;21;sunday;1;1200;12;day;day;Predikherenrei;3;;8000;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20140526;51.2089252721136;3.23311050213428;31/10/2017
PV;2016;93104;VO;2016;302173;Verzonden;BG.81.L1.302173/2016;1;Verkeersongeval;VO;Verkeersongeval met gewonden;3;3;0;1;0;1;0;1;20161024;0840;20161024;0840;20161024;2016;october;43;monday;0;0840;08;day;day;Zuidzandstraat;;;8000;BRUGGE;België;Zilverstraat;;;;;;AnchorPoints;politiezone;;20161024;51.2057265881923;3.22072140529105;31/10/2017
PV;2015;33285;VO;2015;300845;Verzonden;BG.90.L1.300845/2015;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;5;20150422;2215;20150422;2215;20150422;2015;april;17;wednesday;0;2215;22;night;night;Graaf de Mûelenaerelaan;53;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20150422;51.2242577383807;3.23151921107835;31/10/2017
PV;2014;16280;VO;2014;300393;Verzonden;BG.81.L1.300393/2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140214;1546;20140214;1546;20140214;2014;february;7;friday;0;1546;15;day;day;Greenhillstraat;;;8310;BRUGGE;België;Baron Ruzettelaan;;;;;;MultiNetCrossroadMatching;politiezone;;20140217;51.1915799890319;3.23243147636387;31/10/2017
PV;2015;115246;VO;2015;302684;Verzonden;BG.81.L1.302684/2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20151221;1955;20151221;1955;20151221;2015;december;52;monday;0;1955;19;night;day;Buiten Boninvest;;;8000;BRUGGE;België;;4.2;;;;;AnchorPoints;politiezone;;20151221;51.2028020385848;3.23566123285623;31/10/2017
PV;2015;110829;VO;2015;302570;Verzonden;BG.81.L1.302570/2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20151208;1140;20151208;1140;20151208;2015;december;50;tuesday;0;1140;11;day;day;N31 Richting Oostkamp (A10);;;8200;BRUGGE;België;Velodroomstraat;3.2;;;;;AnchorPoints;politiezone;;20151208;51.1899165676243;3.19923122832052;31/10/2017
PV;2016;76579;VO;2016;301739;Verzonden;BG.91.L1.301739/2016;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20160816;1645;20160816;1715;20160816;2016;august;33;tuesday;0;1715;17;day;day;Sint-Pieterskaai;55;;8000;BRUGGE;België;;;Parking AH;;;;GrabAddressMatching;politiezone;;20160831;51.2219335443446;3.21861925232201;31/10/2017
PV;2016;24686;VO;2016;300484;Verzonden;BG.81.L1.300484/2016;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;2;0;2;0;0;2;0;20160312;1120;20160312;1120;20160312;2016;march;10;saturday;1;1120;11;day;day;Dudzeelse Steenweg;;;8000;BRUGGE;België;;1.6;;;;;AnchorPoints;politiezone;;20160312;51.236212276937;3.23223744531483;31/10/2017
PV;2015;4514;VO;2015;300116;Verzonden;BG.81.L1.300116/2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150115;1703;20150115;1705;20150115;2015;january;3;thursday;0;1705;17;night;day;Chantrellstraat;;;8000;BRUGGE;België;Buiten Begijnenvest;;;;;;AnchorPoints;politiezone;;20150115;51.1973622712461;3.22087180097192;31/10/2017
PV;2016;15099;VO;2016;300294;Verzonden;BG.81.L1.300294/2016;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20160215;0946;20160215;0946;20160215;2016;february;7;monday;0;0946;09;day;day;Astridlaan;;;8310;BRUGGE;België;Prins Karellaan;;;;;;AnchorPoints;politiezone;;20160215;51.1995856793544;3.24886306471932;31/10/2017
PV;2014;119637;VO;2014;302761;Verzonden;BG.85.L1.302761/2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20141215;2115;20141215;2115;20141215;2014;december;51;monday;0;2115;21;night;day;Blankenbergse Steenweg;22;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20141215;51.2207482282177;3.20819631810993;31/10/2017
PV;2015;109673;VO;2015;302534;Verzonden;BG.81.L1.302534/2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20151204;0940;20151204;0940;20151204;2015;december;49;friday;0;0940;09;day;day;Ezelstraat;;;8000;BRUGGE;België;Jan Boninstraat;;;;;;AnchorPoints;politiezone;;20151204;51.212880057352;3.21879997939301;31/10/2017
PV;2016;40807;VO;2016;300897;Verzonden;BG.91.L1.300897/2016;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;1;20160505;1200;20160505;1800;20160505;2016;may;18;thursday;0;1800;18;day;day;Nachtegaalstraat;16;;8310;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20160506;51.2056089463533;3.24918524778985;31/10/2017
PV;2014;4254;VO;2014;300147;Verzonden;BG.91.L1.300147/2014;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20140115;1100;20140115;1115;20140115;2014;january;3;wednesday;0;1115;11;day;day;Schaarstraat;18;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20140115;51.2049384439982;3.23222612079665;31/10/2017
PV;2016;85961;VO;2016;301992;Verzonden;BG.91.L1.301992/2016;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;1;20160930;0445;20160930;0515;20160930;2016;september;39;friday;0;0515;05;night;night;Pastoriestraat;290;;8200;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20160930;51.2079331644673;3.1737060573272;31/10/2017
PV;2015;447;VO;2015;300018;Verzonden;BG.91.L1.300018/2015;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20150104;1404;20150104;1404;20150104;2015;january;1;sunday;1;1404;14;day;day;Stationsplein;0;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20150104;51.198213543236;3.21939004313759;31/10/2017
PV;2016;99531;VO;2016;302331;Verzonden;BG.91.L1.302331/2016;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20161116;0800;20161116;0805;20161116;2016;november;46;wednesday;0;0805;08;day;day;Spoorwegstraat;14;;8200;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20161116;51.1926151449701;3.2190373159371;31/10/2017
PV;2015;79427;VO;2015;301825;Verzonden;BG.91.L1.301825/2015;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20150904;0900;20150905;0900;20150905;2015;september;36;saturday;1;0900;09;day;day;Oude Burg;4;;8000;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20150905;51.2074328707657;3.22495391384558;31/10/2017
PV;2015;21708;VO;2015;300577;Verzonden;BG.91.L1.300577/2015;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20150316;1400;20150316;1420;20150316;2015;march;12;monday;0;1420;14;day;day;Sint-Kruisstraat;72;;8310;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20150316;51.2044451870311;3.2544318419106;31/10/2017
PV;2015;68250;VO;2015;301573;Verzonden;BG.81.L1.301573/2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;0;20150802;1230;20150802;1230;20150802;2015;august;31;sunday;1;1230;12;day;day;Baron de Maerelaan;4;;8380;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20150802;51.3297092557725;3.18338648879143;31/10/2017
