DEELGEMEENTE;LIGGING;BELANG;COORDINATEN;NR;AANTAL;latWGS84;loWGS84;Aangemaakt op
Sint-Andries;Lange Vesting t.h.v. nr. 16;algemeen belang;A 10;110;1;51.20527753564436;3.2105516366890603;02/05/2018
Brugge;Potterierei t.h.v. nrs 79/80;museum Ter Potterie;G 4;64;1;51.21961546468559;3.230506760643054;02/05/2018
Assebroek;Brugs-Kerkhofstraat;Hoofdingang stedelijke begraafplaats;n.o.p.;4;1;51.192720491702154;3.2365206971617955;02/05/2018
Sint-Andries;Magdalenastraat (geordende parking voor school);Cultuurcentrum MaZ;A 12;112;2;51.20102448775423;3.208360163888087;02/05/2018
Brugge;Sint-Jorisstraat t.h.v. nr. 2 - hoek Augustijnenrei, tegenover hoek Pottenmakersstraat;algemeen belang;E 7;78;1;51.21248675801828;3.2224452398640286;02/05/2018
Lissewege;Beukemarestraat 22;;;309;1;51.303008340558115;3.198431360109593;02/05/2018
Brugge;Beenhouwersstraat t.h.v. nr. 2;Vrijzinnig Centrum De Sleutelbrug;C 9;22;1;51.2076899842731;3.2180819862221433;02/05/2018
Sint-Kruis;Driekoningeweg thv 50;algemeen belang;;244;1;51.21170637116288;3.244573635804883;02/05/2018
Assebroek;Gulden-Peerdenstraat thv 7/9;algemeen belang;;175;1;51.20051017186522;3.2453522536578525;02/05/2018
Sint-Kruis;Maalse Steenweg t.h.v. nr. 117;Diverse winkels;n.o.p.;136;1;51.21014763330254;3.247974960251818;02/05/2018
Sint-Michiels;Rijselstraat 235;;;302;1;51.17399258682754;3.2104239622347976;02/05/2018
Assebroek;Bossuytlaan t.h.v. nr. 24;parochiaal centrum;n.o.p.;3;1;51.20118213780651;3.2491291436101077;02/05/2018
Sint-Andries;Karel Cartonstraat 3;;;299;1;51.188998289927305;3.1994443264272516;02/05/2018
Brugge;Oliebaan (tijdsbeperking van ma tot vrij van 8.00 tot 18.00 u);MPI Spermalie;G 5;55;3;51.21675069260254;3.2295674343187115;02/05/2018
Brugge;Gerard Davidstraat t.h.v. de kerk;kerk Christus Koning;A 6;31;1;51.21449296738645;3.2074570597254843;02/05/2018
Assebroek;Gaston Roelandtsplein;winkels en diensten;n.o.p.;7;1;51.20079988589248;3.2467016446009835;02/05/2018
Brugge;Sint-Jakobsstraat t.h.v. nr. 36;cultuurcentrum- horeca-winkels;E 8;76;1;51.2102511817785;3.221309353421608;02/05/2018
Brugge;Zakske t.h.v. nr. 15/1;algemeen belang;D 7;92;1;51.211351983056815;3.218988432025434;02/05/2018
Zwankendamme;Lisseweegse Steenweg 226;;;303;1;51.30698845681626;3.196753240658057;02/05/2018
Zeebrugge;Harwichstraat t.h.v. nr. 3;strandwijk -toerisme;n.o.p.;163;1;51.328984192863295;3.180243898391002;02/05/2018
Sint-Andries;Hertsvelde thv 22;alg. belang;;275;1;51.20581078221299;3.1988031489744744;02/05/2018
Sint-Andries;Hoog-Brabantlaan;Provinciegebouw Abdijbeke;n.o.p.;107;1;51.19922387252972;3.2067487093269724;02/05/2018
Brugge;Leopold II-laan 138;algemeen belang;D 3;91;1;51.219873719842816;3.22105421884114;02/05/2018
Sint-Jozef;Marguerite Yourecenarstraat 23;;;295;1;51.232440631775326;3.2412170686070034;02/05/2018
Brugge;Moerstraat t.h.v. nrs 42-44;Sint-Jacobskerk;D 8;51;2;51.21001070736339;3.2199352540215;02/05/2018
;Arsenaalstraat 4;;;283;2;51.20099260447608;3.2260847930602887;02/05/2018
Zeebrugge;Brusselstraat tegenover 16;toerisme - strandwijk;;231;1;51.32893849143183;3.181428969009482;02/05/2018
Zeebrugge;Adriaan de Gerlachestraat (hoek Zeedijk -);Bereikbaarheid strand;n.o.p.;158;5;51.32950016173763;3.1818935953726233;02/05/2018
Brugge;Rode-Haanstraat;Ministerie van Financiën;E 7;66;2;51.21207701787414;3.2248456390304727;02/05/2018
Sint-Andries;Kardinaal Cardijnstraat;kerk St-Baafs;n.o.p.;109;1;51.20193995217182;3.2041281245616022;02/05/2018
Brugge;Guido Gezelleplein *;O.L.Vr kerk + musea + horeca;E 10;34;2;51.2050461773572;3.223998867199994;02/05/2018
