Id;Type;Indeling;Materiaal;Kleur;Markering;Beheerder;Breedte;Rijrichtng;Lengte;Opp;latWGS84;loWGS84;Aangemaakt op
0;Fiets- en Wandelpad;Tweerichting;Open Verharding;Niet van toepassing;Nee;Stad;160;Mee;38;0;51.2010769194095,51.2010769194095,51.2010769194095;3.23184056280351,3.23184056280351,3.23184056280351;19/10/2017
0;Aanliggend verhoogd;Tweerichting;Betonstraatstenen;Rood;;;135;Mee;93;0;51.2119508838528,51.2119508838528,51.2119508838528,51.2119508838528,51.2119508838528,51.2119508838528;3.20696494351648,3.20696494351648,3.20696494351648,3.20696494351648,3.20696494351648,3.20696494351648;19/10/2017
0;Fietssuggestiestrook;Eenrichting;Slemlaag;Oker;Nee;Stad;1;Mee;225;0;51.2044549847069,51.2044549847069,51.2044549847069,51.2044549847069,51.2044549847069,51.2044549847069;3.26437087639262,3.26437087639262,3.26437087639262,3.26437087639262,3.26437087639262,3.26437087639262;19/10/2017
0;Vrijliggend;Eenrichting;Betonstraatstenen;Rood;Ja;Gewest;150;Mee;26;0;51.2072976368829,51.2072976368829;3.27961739209639,3.27961739209639;19/10/2017
0;Vrijliggend;Eenrichting;Asfalt;Niet van toepassing;Nee;Gewest;105;Mee;245;0;51.2161732680736,51.2161732680736,51.2161732680736,51.2161732680736,51.2161732680736,51.2161732680736;3.20126703292656,3.20126703292656,3.20126703292656,3.20126703292656,3.20126703292656,3.20126703292656;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Beton;Niet van toepassing;Ja;Stad;115;Mee;36;0;51.2444555435431,51.2444555435431;3.20899097405846,3.20899097405846;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Asfalt;Niet van toepassing;Nee;Gewest;110;;5;0;51.2205723428651,51.2205723428651;3.20763232219694,3.20763232219694;19/10/2017
0;Vrijliggend;Eenrichting;Asfalt;Rood;Nee;Stad;270;Mee;3;0;51.1893629580304,51.1893629580304;3.28246816236654,3.28246816236654;19/10/2017
0;Vrijliggend;Tweerichting;Beton;Rood;Nee;Gewest;1800;;174;0;51.1962152280151,51.1962152280151,51.1962152280151,51.1962152280151,51.1962152280151;3.21589247870192,3.21589247870192,3.21589247870192,3.21589247870192,3.21589247870192;19/10/2017
0;Vrijliggend;Eenrichting;Betonstraatstenen;Rood;Nee;Stad;120;;219;0;51.2722283134903,51.2722283134903,51.2722283134903,51.2722283134903,51.2722283134903,51.2722283134903,51.2722283134903,51.2722283134903,51.2722283134903,51.2722283134903,51.2722283134903,51.2722283134903;3.22365909286176,3.22365909286176,3.22365909286176,3.22365909286176,3.22365909286176,3.22365909286176,3.22365909286176,3.22365909286176,3.22365909286176,3.22365909286176,3.22365909286176,3.22365909286176;19/10/2017
