Naam;Formule;Straat;HuisNr;HuisNrToev;Postcode;Deelgemeente;Gemeente;Branche;Wvo;Check_dat;Winkelgebied;Subcentrum;StrnmEnHuisnr;latWGS84;loWGS84;Aangemaakt op
Assiette blanche;(Zelfst/nvt);Philipstockstraat;23;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Philipstockstraat 23;51.2096976769042;3.22631530151438;05/07/2016
De Foyer;(Zelfst/nvt);'t Zand;30;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;'t Zand 30;51.2043511763562;3.21894741891846;05/07/2016
Mystic;(Zelfst/nvt);Katelijnestraat;143;;8000;Brugge;Brugge;59.210.123-Café;;20090119;Centrum Brugge;Centrum Brugge;Katelijnestraat 143;51.1999148060677;3.22981590229886;05/07/2016
Le Pannier D'or;(Zelfst/nvt);Markt;28;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Markt 28;51.2093907288259;3.22393365435662;05/07/2016
't Spinnetje;(Zelfst/nvt);Ploegstraat;36;;8380;Zeebrugge;Brugge;59.210.123-Café;;20080109;Verspreide bewinkeling Zeebrugge;Overig_Zeebrugge;Ploegstraat 36;51.3296328572522;3.20965222054486;05/07/2016
't Katelijntje;(Zelfst/nvt);Katelijnestraat;110;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Katelijnestraat 110;51.2009311301072;3.22765323655583;05/07/2016
Indian Tandoori;(Zelfst/nvt);Oude Gentweg;11;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Oude Gentweg 11;51.2028873781398;3.22634366182386;05/07/2016
't Brugs Beertje;(Zelfst/nvt);Kemelstraat;5;;8000;Brugge;Brugge;59.210.123-Café;;20090119;Centrum Brugge;Centrum Brugge;Kemelstraat 5;51.2067851357245;3.22161039029396;05/07/2016
De Waterkant;(Zelfst/nvt);Blankenbergse Dijk;76;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Blankenbergse Dijk 111;51.2331012244504;3.19652581373678;05/07/2016
De Stove;(Zelfst/nvt);Kleine Sint-Amandsstraat;4;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Kleine Sint-Amandsstraat 4;51.2082477544551;3.22258173342328;05/07/2016
Arthie's;(Zelfst/nvt);Wollestraat;10;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Wollestraat 10;51.2075702457205;3.22585820828068;05/07/2016
Relax Café;(Zelfst/nvt);Sint-Jakobsstraat;43;;8000;Brugge;Brugge;59.210.123-Café;;20090119;Centrum Brugge;Centrum Brugge;Sint-Jakobsstraat 43;51.2103594975343;3.22094135860326;05/07/2016
't Oud Handbogenhof;(Zelfst/nvt);Baliestraat;6;;8000;Brugge;Brugge;59.210.434-Restaurant;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Baliestraat 6;51.2153408096859;3.22650740737089;05/07/2016
Pandhotel;(Zelfst/nvt);Pandreitje;16;;8000;Brugge;Brugge;59.210.234-Hotel;;20090119;Centrum Brugge;Centrum Brugge;Pandreitje 16;51.2069449694418;3.22795078394843;05/07/2016
't Kachot;(Zelfst/nvt);Gevangenisstraat;1;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Gevangenisstraat 1;51.2066732625313;3.22921742716621;05/07/2016
De Kombuis;(Zelfst/nvt);Vismijnstraat;14;;8380;Zeebrugge;Brugge;59.210.434-Restaurant;;20090113;Kustlaan;Kustlaan;Vismijnstraat 14;51.3323598926623;3.20354286164316;05/07/2016
Hemelrijcke;(Zelfst/nvt);Dweersstraat;12;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Dweersstraat 12;51.2062069609839;3.2191138454517;05/07/2016
La Fuente;(Zelfst/nvt);Vrijdagmarkt;15;;8000;Brugge;Brugge;59.210.123-Café;;20090115;Smedenstraat;Smedenstraat;Vrijdagmarkt 15;51.2054597695526;3.21652191686883;05/07/2016
't Hof van Rembrandt;(Zelfst/nvt);Eiermarkt;10;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Eiermarkt 10;51.2094571494325;3.22337301529317;05/07/2016
Joker's Place;(Zelfst/nvt);Langestraat;102;;8000;Brugge;Brugge;59.210.123-Café;;20090115;Langestraat;Langestraat;Langestraat 102;51.2108767286633;3.23636919096364;05/07/2016
Willemijn;(Zelfst/nvt);Gentpoortstraat;51;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090115;Gentpoortsestraat;Gentpoortsestraat;Gentpoortstraat 51;51.2035306112745;3.23369187527973;05/07/2016
Grillhuisje 't Gehucht;(Zelfst/nvt);Spoorwegstraat;340;;8200;Sint-Michiels;Brugge;59.210.434-Restaurant;;20080204;Verspreide bewinkeling Sint-Michiels;Overig_Sint-Michiels;Spoorwegstraat 340;51.1798385882965;3.22619773634634;05/07/2016
De Middenstand;(Zelfst/nvt);'t Zand;20;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;'t Zand 20;51.2048931535212;3.21855220503456;05/07/2016
Brasserie Medard;(Zelfst/nvt);Sint-Amandsstraat;18;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Sint-Amandsstraat 18;51.2086667836011;3.22253269858284;05/07/2016
Karos;(Zelfst/nvt);Hoefijzerlaan;37;;8000;Brugge;Brugge;59.210.234-Hotel;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Hoefijzerlaan 37;51.2078624024749;3.21536674751838;05/07/2016
Grilladin;(Zelfst/nvt);Dudzeelse Steenweg;325;;8000;Brugge;Brugge;59.210.434-Restaurant;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Dudzeelse Steenweg 325;51.2456548539326;3.23046927906988;05/07/2016
The Shady;(Zelfst/nvt);Sint-Pieterszuidstraat;55;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Sint-Pieterszuidstraat 55;51.223347437387;3.21209203369162;05/07/2016
The Olivetree;(Zelfst/nvt);Wollestraat;3;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Wollestraat 3;51.2083176339417;3.22537130647268;05/07/2016
't Keizershof;(Zelfst/nvt);Oostmeers;126;;8000;Brugge;Brugge;59.210.234-Hotel;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Oostmeers 126;51.2000879587144;3.2202809136399;05/07/2016
Amon;(Zelfst/nvt);Academiestraat;6;;8000;Brugge;Brugge;59.210.215-Grillroom/Sh;;20090119;Centrum Brugge;Centrum Brugge;Academiestraat 6;51.2112074563645;3.22461600591777;05/07/2016
De Boom In;(Zelfst/nvt);Astridlaan;386;;8310;Assebroek;Brugge;59.210.123-Café;;20080124;Verspreide bewinkeling Assebroek;Overig_Assebroek;Astridlaan 386;51.192928126146;3.26774559981122;05/07/2016
Swiss Inn;(Zelfst/nvt);Steenstraat;76;;8000;Brugge;Brugge;59.210.333-Lunchroom;;20090119;Centrum Brugge;Centrum Brugge;Steenstraat 76;51.2065529237399;3.22168435616009;05/07/2016
De Pitaleir;(Zelfst/nvt);Hallenstraat;4;A;8000;Brugge;Brugge;59.210.215-Grillroom/Sh;;20090119;Centrum Brugge;Centrum Brugge;Hallenstraat 4;51.2079844365435;3.22435004013333;05/07/2016
Brasserie de drie Zwanen;(Zelfst/nvt);Sint-Lenardsstraat;1;;8380;Dudzele;Brugge;59.210.434-Restaurant;;20090113;Centrum Dudzele;Centrum Dudzele;Sint-Lenardsstraat 1;51.2737449405243;3.22507023374614;05/07/2016
Sale et Sucre;(Zelfst/nvt);Geldmuntstraat;33;;8000;Brugge;Brugge;59.210.333-Lunchroom;;20090119;Centrum Brugge;Centrum Brugge;Geldmuntstraat 33;51.2086031826928;3.22182951562311;05/07/2016
Dell'arte;(Zelfst/nvt);Vlamingstraat;28;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Vlamingstraat 28;51.210101838516;3.22484790333619;05/07/2016
Pieter Pourbus;(Zelfst/nvt);Pieter Pourbusstraat;1;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Pieter Pourbusstraat 1;51.2117202302275;3.22228057064996;05/07/2016
Kooktheater Sans Cravate;(Zelfst/nvt);Langestraat;159;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090115;Langestraat;Langestraat;Langestraat 159;51.2124018029556;3.23806835045306;05/07/2016
Anker;(Zelfst/nvt);Rederskaai;37;;8380;Zeebrugge;Brugge;59.210.430-Café-Restaurant;;20080109;Verspreide bewinkeling Zeebrugge;Overig_Zeebrugge;Rederskaai 37;51.3349682217546;3.20577327833224;05/07/2016
Olympos;(Zelfst/nvt);Koning Leopold III-Laan;38;;8200;Sint-Andries;Brugge;59.210.123-Café;;20080204;Verspreide bewinkeling Sint-Andries;Overig_Sint-Andries;Koning Leopold III-Laan 38;51.1943746905506;3.18317158958652;05/07/2016
Bélissimo;(Zelfst/nvt);Walplein;19;;8000;Brugge;Brugge;59.210.246-Yssalon;;20090119;Centrum Brugge;Centrum Brugge;Walplein 19;51.202120144087;3.22465800861968;05/07/2016
El Greco;(Zelfst/nvt);Sint-Jakobsstraat;48;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Sint-Jakobsstraat 48;51.2107113965279;3.22125926152059;05/07/2016
Cosy nostra;(Zelfst/nvt);Sint-Jansstraat;3;;8000;Brugge;Brugge;59.210.123-Café;;20090119;Centrum Brugge;Centrum Brugge;Sint-Jansstraat 3;51.2106561223036;3.22536381961412;05/07/2016
Favela Cocktailbar;(Zelfst/nvt);Hoogste van Brugge;1;;8000;Brugge;Brugge;59.210.123-Café;;20090119;Centrum Brugge;Centrum Brugge;Hoogste van Brugge 1;51.2049478184517;3.21881096599986;05/07/2016
De Stoepa;(Zelfst/nvt);Oostmeers;124;;8000;Brugge;Brugge;59.210.434-Restaurant;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Oostmeers 124;51.2002687205674;3.22039820618891;05/07/2016
De Krakele;(Zelfst/nvt);Sint-Pieterskaai;63;;8000;Brugge;Brugge;59.210.235-Hotel-Rest;;20090115;Verspreide bewinkeling Brugge;Overig_Brugge;Sint-Pieterskaai 63;51.2224707723727;3.22083713494014;05/07/2016
Brasserie Forestiere;(Zelfst/nvt);Academiestraat;11;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Academiestraat 11;51.2114732340176;3.22465745892307;05/07/2016
De Zoete Zonde;(Zelfst/nvt);Gistelse Steenweg;558;;8200;Sint-Andries;Brugge;59.210.434-Restaurant;;20090114;Centrum Sint-Andries;Centrum Sint-Andries;Gistelse Steenweg 558;51.197033170782;3.17821629218193;05/07/2016
