Datum;PM 1;PM 2,5;PM 10;G;H;I;J;K;L;M;N;O;P;Q;R;Longitude;Latitude;latWGS84;loWGS84;Aangemaakt op
20170909;2.74;3.84;6.54;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170910;3.79;5.35;9.34;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170911;3.40;6.26;11.66;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170912;2.50;4.77;10.49;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170913;2.79;5.98;14.45;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170914;2.78;4.55;8.68;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170915;3.70;5.36;9.81;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170916;5.46;6.39;9.09;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170917;9.62;10.71;13.78;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170918;2.57;4.02;7.89;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170919;2.33;3.65;6.87;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170920;9.35;11.55;19.73;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170921;10.28;13.06;26.89;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170922;8.15;9.87;14.92;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170923;15.72;17.33;21.98;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170924;25.76;27.55;32.56;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170925;43.20;46.35;54.51;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170926;33.17;36.11;42.80;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170927;29.78;32.34;40.44;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170928;14.17;16.09;23.59;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170929;10.72;14.37;28.81;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170930;4.67;8.37;15.59;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171001;4.47;6.39;10.90;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171002;6.27;12.36;23.62;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171003;3.62;6.84;13.46;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171004;4.66;8.29;18.10;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171005;3.10;6.57;14.54;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171006;3.13;6.17;13.04;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171007;4.43;6.66;11.31;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171008;4.71;6.25;10.04;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171009;11.10;13.40;20.81;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171010;6.33;8.36;14.81;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171011;3.77;4.94;10.19;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171012;4.49;8.67;17.87;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171013;5.73;8.20;14.16;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171014;11.29;13.80;20.47;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171015;14.80;17.40;26.72;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171016;13.32;17.24;31.77;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171017;7.26;14.52;31.46;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171018;19.54;25.01;39.77;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171019;15.61;18.83;31.95;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171020;4.14;7.15;14.60;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171021;3.56;6.49;12.34;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171022;2.59;5.08;10.08;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171023;5.21;7.57;14.62;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171024;5.12;6.61;11.38;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171025;7.63;10.34;17.74;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171026;7.01;8.42;12.01;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171027;4.34;7.17;13.81;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171028;4.81;7.37;13.10;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171029;3.95;8.01;16.33;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171030;4.44;7.03;13.59;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171031;6.43;9.57;17.70;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171101;13.33;16.30;22.14;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171102;16.43;19.36;26.83;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171103;29.72;33.04;40.33;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171104;14.69;16.57;20.74;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171105;3.70;5.32;9.05;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171106;6.31;9.27;17.09;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171107;21.00;25.82;40.56;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171108;32.35;36.48;46.54;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171109;18.04;20.42;26.57;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171110;7.80;10.46;16.02;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171111;5.35;7.35;11.45;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171112;4.53;6.67;11.41;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171113;3.44;6.56;13.68;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171114;9.53;12.54;20.91;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171115;19.58;23.05;34.07;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171116;19.43;23.39;34.71;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171117;7.55;11.74;25.82;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171118;5.48;7.79;13.80;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171119;5.70;8.71;16.18;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171120;7.11;9.39;13.31;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171121;8.93;12.87;22.97;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171122;14.28;16.70;25.07;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171123;5.32;8.35;17.32;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171124;5.14;7.49;13.30;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171125;4.22;5.79;10.45;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171126;4.07;6.73;12.96;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171127;3.75;5.61;10.04;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171128;3.89;5.81;11.54;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171129;4.24;5.24;7.71;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171130;2.31;3.62;6.33;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171201;10.35;11.39;13.93;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171202;32.01;33.96;35.11;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171203;23.49;25.48;27.62;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171204;10.98;14.59;20.47;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171205;10.67;12.65;20.12;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171206;10.51;12.16;18.58;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171207;10.90;12.70;16.60;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171208;2.75;5.38;11.65;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171209;5.06;7.52;13.71;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171210;6.65;8.38;11.18;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171211;5.60;6.37;8.11;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171212;10.90;12.52;15.91;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171213;6.56;8.33;11.48;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171214;3.66;6.29;13.43;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171215;8.87;10.47;14.32;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171216;2.80;4.87;9.99;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171217;8.52;10.44;15.08;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171218;6.45;12.53;23.82;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171219;11.00;14.36;19.91;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171220;9.73;11.01;12.56;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171221;15.20;16.45;17.97;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171222;14.23;17.29;21.12;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171223;10.63;11.85;15.05;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171224;3.58;4.35;6.42;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171225;4.89;5.35;6.95;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171226;4.88;6.62;11.28;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171227;3.28;5.16;9.79;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171228;4.23;7.15;15.32;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171229;7.31;9.26;13.06;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171230;8.45;15.70;24.74;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20171231;2.91;4.64;6.96;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20180101;3.20;5.80;10.87;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20180102;5.80;9.57;17.64;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20180103;5.85;12.12;22.48;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20180104;6.36;11.99;21.11;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20180105;4.19;7.84;15.05;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20180106;8.38;10.15;13.50;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20180107;6.57;7.04;8.10;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20180108;12.77;13.56;15.96;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
