Id;Paalnr;Straatnaam;Huisnummer;Locatie;Inplanting;Aantalpijl;Hotelnaam1;Aantster1;_2zijden1;Staatpijl1;Richting1;Hotelnaam2;Aantster2;_2zijden2;Staatpijl2;Richting2;Hotelnaam3;Aantster3;_2zijden3;Staatpijl3;Hotelnaam4;Aanster4;_2zijden4;Staatpijl4;Hotelnaam5;Aantster5;_2zijden5;Staatpijl5;Hotelnaam6;Aantster6;_2zijden6;Staatpijl6;Richting3;Richting4;Richting5;Richting6;Foto;Hotelnaam7;Aantster7;_2zijden7;Staatpijl7;Richting7;Hotelnaam8;Aantster8;_2zijden8;Staatpijl8;Richting8;Hotelnaam9;Aanster9;_2zijden9;Richting;Staatpijl9;Hotelnm10;Aantster10;_2zijden10;Richting10;Hotelnm11;Aantster11;_2zijden11;Staat11;Richting11;Staat10;latWGS84;loWGS84;Aangemaakt op
76;76;Predikherenrei;0;hoek Predikherenstraat;Voetpad;2;Rosenburg;4;Ja;Goed;Front/Links;Relais Ravestein;4;Nee;Letters half weg;Links;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07334.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2091785949233;3.2320970208936;15/09/2016
29;29;Dijver;0;Aan het water, hoek Pandreitje;Voetpad;1;Romantik Pandhotel;4;Ja;Goed;Back/Rechts;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07326.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2072952376935;3.22774113485548;15/09/2016
16;16;Walstraat;0;Walstraat - Wijnaardplein;Voetpad (op plein);1;Academie;4;Ja;Mos + krom (verkeersbord hangt er voor);Links;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07304.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2027590330677;3.2242162322883;15/09/2016
0;0;;0;;;0;;0;Nee;;;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2150055003624;3.22119793608878;15/09/2016
106;106;Vaartstraat;0;Hoek Handboogstraat;Voetpad;1;Hotel Velotel;4;Ja;Goed;Back/Rechts;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07350.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2271607570855;3.21394460419872;15/09/2016
109;109;Neststraat;0;Hoek Hoefijzerlaan;Rijbaan;1;Ensor;0;Nee;Goed;Rechts;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07259.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.207206210124;3.21652676054066;15/09/2016
24;24;Gentpoortstraat;65;Hoek Boninvest;Voetpad;2;IBIS;0;Ja;Goed;Rechts;Novotel;0;Ja;Goed;Rechts;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07328.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2032340616284;3.23430782739587;15/09/2016
52;52;Jan van Eyckplein;0;Voor Tolhuis;voetpad;3;Central;0;Nee;Redelijk;Front;Cordoeanier;2;Ja;Redelijk;Links;Biskajer;4;Ja;redelijk;;0;Nee;;;0;Nee;;;0;Nee;;Links;;;;foto/DSC07344.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.211632320865;3.22552993391848;15/09/2016
56;56;Ontvangersstraat;0;Naast Noordzandstraat 26;Rijbaan;1;Prinsenhof;4;Nee;Goed;Front;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07293.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2078176162441;3.22052975393677;15/09/2016
35;35;Boomgaardstraat;0;Hoek Hoogstraat;Voetpad;1;1;3;Nee;Goed;Front/Rechts;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07269.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2099470130011;3.23017986768303;15/09/2016
