Id;Nr;Id_1;Wijk;Naam;Capaciteit;Ingenomen;Beschikbaar;Bewoner;Buitenlander;Andere;Bezet;Bezetgraad;AandBew;AandBuit;AandAnder;latWGS84;loWGS84;Aangemaakt op
0;600702;600702;6;Hooistraat (Ganzenstraat - Bilkske) onpaar (noord);5;;5;3;0;2;2;1;0.6;0;0.4;51.2085320898488,51.2085320898488,51.2085320898488,51.2085320898488,51.2085320898488,51.2085320898488;3.2365810563674,3.2365810563674,3.2365810563674,3.2365810563674,3.2365810563674,3.2365810563674;12/08/2016
0;301501;301501;3;Kleine Hoedenmakersstraat (Hoedenmakersstraat - West-Gistelhof) onpaar (noord);0;;0;0;0;0;0;0;0;0;0;51.2143002016107,51.2143002016107;3.22399401535094,3.22399401535094;12/08/2016
0;201404;201404;2;Koningin Elizabethlaan (Biezenstraat - Blokstraat) paar (zuid);11;;11;6;0;4;4;0.90909090909091;0.6;0;0.4;51.216554003792,51.216554003792;3.21824443583276,3.21824443583276;12/08/2016
0;1201509;1201509;12;Hoogstraat (Peerdenstraat - Boomgaardstraat) paar (zuid);7;;7;0;1;0;0;0.14285714285714;0;1;0;51.2097603565961,51.2097603565961,51.2097603565961,51.2097603565961,51.2097603565961,51.2097603565961,51.2097603565961;3.22968998201671,3.22968998201671,3.22968998201671,3.22968998201671,3.22968998201671,3.22968998201671,3.22968998201671;12/08/2016
0;503102;503102;5;Venkelstraat onpaar (zuid);1;;1;0;0;2;2;2;0;0;1;51.2130447009055,51.2130447009055,51.2130447009055,51.2130447009055,51.2130447009055;3.23223716297351,3.23223716297351,3.23223716297351,3.23223716297351,3.23223716297351;12/08/2016
0;1001902;1001902;10;Maagdenstraat (Sint-Maartensbilk - Hauwerstraat) onpaar (oost);0;;0;0;0;0;0;0;0;0;0;51.2042977629657,51.2042977629657;3.21406024116633,3.21406024116633;12/08/2016
0;100603;100603;1;Groenestraat (Beenhouwerstraat - Rozendal) onpaar (zuid);11;;11;7;0;4;4;1;0.63636363636364;0;0.36363636363636;51.2117026105216,51.2117026105216,51.2117026105216,51.2117026105216,51.2117026105216,51.2117026105216;3.21724598149628,3.21724598149628,3.21724598149628,3.21724598149628,3.21724598149628,3.21724598149628;12/08/2016
0;702402;702402;7;Witte-Leertouwerstraat (Waalsestraat - Kruitenbergstraat) onpaar (oost);7;;7;4;0;3;3;1;0.57142857142857;0;0.42857142857143;51.2085462364855,51.2085462364855,51.2085462364855,51.2085462364855;3.23189472844161,3.23189472844161,3.23189472844161,3.23189472844161;12/08/2016
0;1102302;1102302;11;Noordzandstraat (Wulfhagestraat - Helmstraat) paar (noord);0;;0;0;0;0;0;0;0;0;0;51.2074598804128,51.2074598804128,51.2074598804128,51.2074598804128;3.22008841568268,3.22008841568268,3.22008841568268,3.22008841568268;12/08/2016
0;902601;902601;9;Zonnekemeers paar (noord);0;;0;0;0;0;0;0;0;0;0;51.2024753968007,51.2024753968007,51.2024753968007,51.2024753968007,51.2024753968007,51.2024753968007,51.2024753968007;3.22101720345729,3.22101720345729,3.22101720345729,3.22101720345729,3.22101720345729,3.22101720345729,3.22101720345729;12/08/2016
0;1001702;1001702;10;Lane (Brandstraat - Kleine Sint-Jansstraat) paar (noord);0;;0;0;0;0;0;0;0;0;0;51.2072417555295,51.2072417555295;3.21529907007829,3.21529907007829;12/08/2016
0;1201301;1201301;12;Groene Rei (Peerdenstraat - Predikherenstraat);0;;0;0;0;0;0;0;0;0;0;51.2090496836873,51.2090496836873,51.2090496836873,51.2090496836873;3.23026079869826,3.23026079869826,3.23026079869826,3.23026079869826;12/08/2016
0;300803;300803;3;Hoedenmakersstraat (Maagdendal - Schrijversstraat) onpaar (west);9;;9;2;0;5;5;0.77777777777778;0.28571428571429;0;0.71428571428571;51.2143015704705,51.2143015704705,51.2143015704705,51.2143015704705,51.2143015704705;3.22377625908157,3.22377625908157,3.22377625908157,3.22377625908157,3.22377625908157;12/08/2016
