A;B;C;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00;T16;T24;latWGS84;loWGS84;Aangemaakt op
20140918;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140919;Licht;00-30;1;0;0;0;3;2;2;36;20;20;23;15;7;27;15;31;49;22;25;4;2;3;3;2;301;312;;;08/07/2016
20140919;Licht;30-50;5;4;2;2;4;7;28;133;332;196;227;264;259;214;234;362;482;454;373;184;84;66;46;58;3892;4020;;;08/07/2016
20140919;Licht;50-70;25;6;9;12;10;14;40;65;57;52;53;50;98;78;87;85;67;70;108;109;85;63;60;66;1167;1369;;;08/07/2016
20140919;Licht;70-90;6;3;1;0;2;2;3;1;0;0;0;0;1;0;3;1;0;2;1;1;1;1;1;1;15;31;;;08/07/2016
20140919;Licht;90-..;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;;;08/07/2016
20140919;Medium;00-30;1;0;0;0;0;0;0;4;6;0;2;2;1;3;4;5;4;1;0;2;1;0;0;0;35;36;;;08/07/2016
20140919;Medium;30-50;0;0;0;0;0;1;2;7;22;20;15;20;16;10;17;22;22;23;9;3;2;1;0;3;211;215;;;08/07/2016
20140919;Medium;50-70;0;0;0;1;1;1;4;2;2;3;3;3;6;5;6;2;1;2;1;1;0;2;0;2;43;48;;;08/07/2016
20140919;Medium;70-90;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;;;08/07/2016
20140919;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140919;Zwaar;00-30;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;4;4;;;08/07/2016
20140919;Zwaar;30-50;0;0;0;0;0;1;0;3;1;3;1;0;3;2;1;5;4;2;2;1;1;0;0;0;29;30;;;08/07/2016
20140919;Zwaar;50-70;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;;;08/07/2016
20140919;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140919;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140920;Licht;00-30;1;3;1;0;0;2;1;1;3;11;19;36;9;11;12;19;11;15;7;2;4;4;2;0;165;174;;;08/07/2016
20140920;Licht;30-50;36;23;18;9;2;4;4;42;119;187;276;309;302;267;294;299;306;334;277;115;62;46;55;43;3239;3429;;;08/07/2016
20140920;Licht;50-70;55;26;15;14;17;8;11;32;59;62;78;81;94;76;72;70;99;115;148;99;67;43;54;44;1206;1439;;;08/07/2016
20140920;Licht;70-90;6;2;1;1;0;4;3;2;2;1;0;0;0;2;0;0;1;1;3;2;3;2;4;3;22;43;;;08/07/2016
20140920;Licht;90-..;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;08/07/2016
20140920;Medium;00-30;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;1;5;7;;;08/07/2016
20140920;Medium;30-50;2;1;1;0;0;1;2;2;3;5;11;10;2;10;6;8;6;12;6;2;0;1;0;2;86;93;;;08/07/2016
20140920;Medium;50-70;0;0;0;0;1;1;0;0;2;0;1;0;4;1;4;2;0;1;0;2;1;0;3;0;18;23;;;08/07/2016
20140920;Medium;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140920;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140920;Zwaar;00-30;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;;;08/07/2016
20140920;Zwaar;30-50;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;1;2;0;2;0;0;0;1;10;12;;;08/07/2016
20140920;Zwaar;50-70;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;2;0;0;0;5;5;;;08/07/2016
20140920;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140920;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140921;Licht;00-30;1;1;1;0;0;0;1;5;3;5;2;7;6;2;10;9;3;4;3;5;3;2;0;2;70;75;;;08/07/2016
20140921;Licht;30-50;31;19;16;4;5;2;5;25;53;90;94;113;105;59;89;100;150;281;169;113;97;45;22;4;1588;1691;;;08/07/2016
