SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
RUZ01;23/4/2012;Lic 30-40;22:0;23:0;16;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;23:0;0:0;5;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;0:0;1:0;6;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;1:0;2:0;7;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;2:0;3:0;4;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;3:0;4:0;3;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;4:0;5:0;4;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;5:0;6:0;18;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;6:0;7:0;21;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;7:0;8:0;139;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;8:0;9:0;543;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;9:0;10:0;136;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;10:0;11:0;83;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;11:0;12:0;39;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;12:0;13:0;47;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;13:0;14:0;83;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;14:0;15:0;73;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;15:0;16:0;73;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;16:0;17:0;44;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;17:0;18:0;64;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;18:0;19:0;132;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;19:0;20:0;56;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;20:0;21:0;22;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;21:0;22:0;14;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;22:0;23:0;7;;;08/07/2016
RUZ01;23/4/2012;Lic <=30kmu ;23:0;0:0;1;;;08/07/2016
RUZ01;23/4/2012;Med >60kmu;4:0;5:0;1;;;08/07/2016
RUZ01;23/4/2012;Med >60kmu;14:0;15:0;1;;;08/07/2016
RUZ01;23/4/2012;Med >60kmu;17:0;18:0;1;;;08/07/2016
RUZ01;23/4/2012;Med 50-60;1:0;2:0;1;;;08/07/2016
RUZ01;23/4/2012;Med 50-60;3:0;4:0;1;;;08/07/2016
RUZ01;23/4/2012;Med 50-60;4:0;5:0;3;;;08/07/2016
RUZ01;23/4/2012;Med 50-60;6:0;7:0;1;;;08/07/2016
RUZ01;23/4/2012;Med 50-60;7:0;8:0;1;;;08/07/2016
RUZ01;23/4/2012;Med 50-60;12:0;13:0;1;;;08/07/2016
RUZ01;23/4/2012;Med 50-60;20:0;21:0;2;;;08/07/2016
RUZ01;23/4/2012;Med 50-60;22:0;23:0;1;;;08/07/2016
RUZ01;23/4/2012;Med 50-60;23:0;0:0;2;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;2:0;3:0;1;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;5:0;6:0;4;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;6:0;7:0;19;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;7:0;8:0;13;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;9:0;10:0;12;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;10:0;11:0;16;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;11:0;12:0;23;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;12:0;13:0;19;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;13:0;14:0;11;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;14:0;15:0;10;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;15:0;16:0;8;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;16:0;17:0;8;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;17:0;18:0;6;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;18:0;19:0;9;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;19:0;20:0;4;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;20:0;21:0;4;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;21:0;22:0;2;;;08/07/2016
RUZ01;23/4/2012;Med 40-50;22:0;23:0;1;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;1:0;2:0;1;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;5:0;6:0;1;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;6:0;7:0;6;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;7:0;8:0;28;;;08/07/2016
